Nx=24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3600 M2= 8000
          38          74  -2.538344541052066E-005 1.839871963966809E-020 
          38          75  8.319823344110634E-006 -7.842669189742413E-021 
          38          76  3.337370547330206E-005 8.315148692305800E-021 
          38          77  2.782973568414608E-005 -4.308612467676615E-021 
          38          78  3.618361856252879E-005 -1.933020949391635E-021 
          38          79  -7.024211192911083E-006 4.088668975153410E-021 
          38          80  -7.213004975216111E-006 3.775831517582676E-021 
          38          81  -8.683670141081778E-006 8.509127496482015E-022 
          38          82  -9.203160830934081E-006 2.231420944334680E-021 
          38          83  -9.453675515327798E-006 1.949878079778397E-021 
          38          84  -8.852955336749019E-006 7.931228995583881E-021 
          38          85  3.421045662764833E-006 -2.748534695550647E-021 
          38          86  2.913433422419398E-006 -1.398572337126862E-021 
          38          87  1.379735971181750E-006 -3.256077514356576E-021 
          38          88  3.402748126747534E-006 -1.265509935582147E-021 
          38          89  1.401588943772705E-006 -9.603846823177103E-022 
          38          90  2.880180982042240E-006 -2.875077662450736E-021 
          38          91  -1.239380359588323E-006 -1.821776796157564E-022 
          38          92  -4.810075587578531E-007 3.465182550752286E-022 
          38          93  -1.171816870859524E-006 -8.856148817788970E-023 
          38          94  -1.156801953895831E-006 2.813743481749386E-022 
          38          95  -4.799352098464603E-007 6.241445325201488E-023 
          38          96  -1.170809313756674E-006 5.166959311153523E-022 
          38          97  1.432301452641505E-007 -1.943720434153223E-022 
          38          98  2.823948031231729E-007 -1.465920776057553E-022 
          38          99  3.118026024525234E-007 -1.550809391315365E-022 
          38         100  2.710390151997103E-007 2.654540382825455E-023 
          38         101  1.300588771868456E-007 -1.208051055090059E-022 
          38         102  3.848765082724712E-007 -2.189114085183870E-022 
          38         103  -3.853209357420471E-008 -2.085029286116861E-023 
          38         104  -2.763807206371689E-008 -4.215495921767313E-023 
          38         105  -2.329308078358753E-008 -2.167064069616514E-023 
          38         106  -3.281132216849927E-008 -4.902984983446678E-023 
          38         107  -4.189611481767368E-008 1.144978766069589E-023 
          38         108  -4.975236992155172E-008 -1.271701645555278E-023 
          39          37  8.163716046751278E-003 3.283521349159936E-018 
          39          38  -0.110045461493538 2.194188138435773E-017 
          39          39  0.562957902097555 6.805607803186916E-017 
          39          40  -0.110041236587036 -3.317482971016705E-017 
          39          41  8.142523178806602E-003 -6.557516802540349E-019 
          39          42  2.914628042624247E-003 1.461021884552589E-018 
          39          43  1.431239986987739E-002 6.211783061103849E-019 
          39          44  -0.103910584324013 -2.255510609325436E-017 
          39          45  -0.103353209087467 1.338960199212462E-017 
          39          46  1.421354312117733E-002 -7.162629717327359E-018 
          39          47  -4.341475424567154E-003 -6.244524417562455E-018 
          39          48  -4.358104845698530E-003 4.228189151602050E-018 
          39          49  6.822738966940590E-003 1.949361884420157E-018 
          39          50  1.130631503855644E-002 8.836084707689608E-018 
          39          51  6.668626101420437E-003 -2.273382421953873E-019 
          39          52  -4.112113398395159E-003 -1.678763489410210E-019 
          39          53  2.200525766343330E-004 -6.739227715442249E-020 
          39          54  -4.155407408767543E-003 2.771401143147228E-020 
          39          55  -2.235700332864497E-003 2.957389364637874E-019 
