           U              Del*E_b            Del*E_s
       6.000000000      -0.167677862       0.126243048
       8.000000000      -0.317838350       0.321061376
      10.000000000      -0.372039817       0.355439044
      12.000000000      -0.405547222       0.337970795
      14.000000000      -0.368463233       0.300964089
      16.000000000      -0.312697991       0.241283007
      18.000000000      -0.272389828       0.208037992
      20.000000000      -0.252104278       0.189084886
		
