Nx=  24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 1200 M2= 6000
    18     1    0.90668576   94.37633120
    18     2    0.90673692   95.28306812
    18     3    0.90677057   96.18983869
    18     4    0.90675721   97.09659591
    18     5    0.90670852   98.00330442
    18     6    0.90667381   98.90997823
    19     1    0.91046367   99.82044190
    19     2    0.91048697  100.73092887
    19     3    0.91054388  101.64147275
    19     4    0.91057838  102.55205113
    19     5    0.91056124  103.46261238
    19     6    0.91051122  104.37312359
    20     1    0.92594634  105.29906994
    20     2    0.92596146  106.22503140
    20     3    0.92600174  107.15103315
    20     4    0.92603104  108.07706418
    20     5    0.92602945  109.00309363
    20     6    0.92598566  109.92907929
    21     1    0.92294242  110.85202172
    21     2    0.92296295  111.77498467
    21     3    0.92296064  112.69794531
    21     4    0.92294445  113.62088975
    21     5    0.92293677  114.54382652
    21     6    0.92292160  115.46674812
    22     1    0.90526095  116.37200907
    22     2    0.90526638  117.27727545
    22     3    0.90527658  118.18255202
    22     4    0.90527777  119.08782980
    22     5    0.90527532  119.99310512
    22     6    0.90524988  120.89835501
    23     1    0.90702197  121.80537698
    23     2    0.90704084  122.71241781
    23     3    0.90707912  123.61949693
    23     4    0.90709772  124.52659465
    23     5    0.90709201  125.43368666
    23     6    0.90704473  126.34073138
    24     1    0.94319448  127.28392587
    24     2    0.94320607  128.22713193
    24     3    0.94322593  129.17035787
    24     4    0.94323099  130.11358886
    24     5    0.94321796  131.05680682
    24     6    0.94319318  132.00000000
 
 Nx=          36 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         198 N_down=           0 M1=        3600 
 M2=        8000
     1     1    0.94379744    0.94379744
     1     2    0.94382383    1.88762127
     1     3    0.94383595    2.83145722
     1     4    0.94383089    3.77528811
     1     5    0.94381118    4.71909930
     1     6    0.94379716    5.66289646
     2     1    0.90782123    6.57071769
     2     2    0.90787029    7.47858798
     2     3    0.90787902    8.38646700
     2     4    0.90785662    9.29432362
     2     5    0.90781994   10.20214356
     2     6    0.90780491   11.10994847
     3     1    0.90565871   12.01560718
     3     2    0.90568418   12.92129136
     3     3    0.90568690   13.82697825
     3     4    0.90568633   14.73266459
     3     5    0.90567747   15.63834206
     3     6    0.90567201   16.54401406
     4     1    0.92318319   17.46719725
     4     2    0.92319826   18.39039551
     4     3    0.92320748   19.31360300
     4     4    0.92322526   20.23682825
     4     5    0.92322874   21.16005700
     4     6    0.92320907   22.08326606
     5     1    0.92696861   23.01023468
     5     2    0.92701079   23.93724547
     5     3    0.92701483   24.86426030
     5     4    0.92699004   25.79125034
     5     5    0.92695361   26.71820395
     5     6    0.92693927   27.64514322
     6     1    0.91177931   28.55692253
     6     2    0.91182986   29.46875239
     6     3    0.91184666   30.38059905
     6     4    0.91181399   31.29241304
     6     5    0.91176026   32.20417330
     6     6    0.91173894   33.11591225
     7     1    0.90703392   34.02294616
     7     2    0.90706992   34.93001608
     7     3    0.90711665   35.83713274
     7     4    0.90712899   36.74426172
     7     5    0.90709615   37.65135787
     7     6    0.90704871   38.55840658
     8     1    0.91908144   39.47748802
     8     2    0.91911541   40.39660343
     8     3    0.91916595   41.31576938
     8     4    0.91918902   42.23495840
     8     5    0.91916382   43.15412222
     8     6    0.91910834   44.07323056
     9     1    0.92248839   44.99571895
     9     2    0.92253936   45.91825832
     9     3    0.92256825   46.84082656
     9     4    0.92255280   47.76337936
     9     5    0.92250760   48.68588696
     9     6    0.92246883   49.60835580
    10     1    0.91116387   50.51951967
    10     2    0.91121842   51.43073809
    10     3    0.91124756   52.34198565
    10     4    0.91122513   53.25321078
    10     5    0.91117201   54.16438279
    10     6    0.91113458   55.07551737
    11     1    0.90862701   55.98414438
    11     2    0.90866607   56.89281045
    11     3    0.90871728   57.80152773
    11     4    0.90873171   58.71025943
    11     5    0.90869621   59.61895564
    11     6    0.90864123   60.52759687
    12     1    0.91963761   61.44723449
    12     2    0.91967370   62.36690819
    12     3    0.91972801   63.28663620
    12     4    0.91974967   64.20638587
    12     5    0.91971915   65.12610502
    12     6    0.91966004   66.04576506
    13     1    0.92151029   66.96727535
    13     2    0.92156294   67.88883829
    13     3    0.92159776   68.81043605
    13     4    0.92158376   69.73201981
    13     5    0.92153535   70.65355516
    13     6    0.92149227   71.57504743
    14     1    0.91063416   72.48568160
    14     2    0.91068918   73.39637077
    14     3    0.91072222   74.30709299
    14     4    0.91070312   75.21779612
    14     5    0.91065050   76.12844662
    14     6    0.91060931   77.03905592
    15     1    0.90937365   77.94842957
    15     2    0.90941251   78.85784208
    15     3    0.90946496   79.76730704
    15     4    0.90948079   80.67678783
    15     5    0.90944600   81.58623383
    15     6    0.90938922   82.49562305
    16     1    0.92020244   83.41582549
    16     2    0.92023971   84.33606520
    16     3    0.92029380   85.25635901
    16     4    0.92031430   86.17667330
    16     5    0.92028222   87.09695552
    16     6    0.92022247   88.01717800
    17     1    0.92089983   88.93807783
    17     2    0.92095304   89.85903087
    17     3    0.92098844   90.78001931
    17     4    0.92097422   91.70099353
    17     5    0.92092514   92.62191866
    17     6    0.92088114   93.54279980
    18     1    0.91009184   94.45289164
    18     2    0.91014646   95.36303810
    18     3    0.91018008   96.27321818
    18     4    0.91016320   97.18338138
    18     5    0.91011170   98.09349308
    18     6    0.91006882   99.00356190
    19     1    0.90996180   99.91352371
    19     2    0.90999943  100.82352313
    19     3    0.91005206  101.73357519
    19     4    0.91006847  102.64364366
    19     5    0.91003470  103.55367836
    19     6    0.90997699  104.46365534
    20     1    0.92077638  105.38443172
    20     2    0.92081584  106.30524756
    20     3    0.92086818  107.22611575
    20     4    0.92088505  108.14700080
    20     5    0.92085026  109.06785106
    20     6    0.92079074  109.98864180
    21     1    0.92032921  110.90897100
    21     2    0.92038654  111.82935754
    21     3    0.92042025  112.74977779
    21     4    0.92040069  113.67017848
    21     5    0.92034726  114.59052574
    21     6    0.92030445  115.51083019
    22     1    0.90946438  116.42029456
    22     2    0.90952266  117.32981722
    22     3    0.90955813  118.23937535
    22     4    0.90954261  119.14891796
    22     5    0.90949186  120.05840983
    22     6    0.90944769  120.96785752
    23     1    0.91046967  121.87832719
    23     2    0.91051266  122.78883985
    23     3    0.91056452  123.69940437
    23     4    0.91058232  124.60998669
    23     5    0.91054928  125.52053597
    23     6    0.91049360  126.43102958
    24     1    0.92137440  127.35240398
    24     2    0.92141772  128.27382169
    24     3    0.92146590  129.19528760
    24     4    0.92148011  130.11676770
    24     5    0.92144579  131.03821349
    24     6    0.92139214  131.95960562
    25     1    0.91972405  132.87932967
    25     2    0.91978323  133.79911291
    25     3    0.91981378  134.71892669
    25     4    0.91979243  135.63871911
    25     5    0.91973845  136.55845756
    25     6    0.91970160  137.47815916
    26     1    0.90865550  138.38681466
    26     2    0.90871090  139.29552556
    26     3    0.90874709  140.20427265
    26     4    0.90873331  141.11300595
    26     5    0.90868233  142.02168828
    26     6    0.90864248  142.93033076
    27     1    0.91096341  143.84129417
    27     2    0.91100153  144.75229569
    27     3    0.91105568  145.66335138
    27     4    0.91107899  146.57443036
    27     5    0.91105004  147.48548040
    27     6    0.91099417  148.39647457
    28     1    0.92233351  149.31880808
    28     2    0.92237303  150.24118111
    28     3    0.92241914  151.16360025
    28     4    0.92243496  152.08603521
    28     5    0.92240636  153.00844157
    28     6    0.92235445  153.93079601
    29     1    0.91912007  154.84991609
    29     2    0.91917578  155.76909186
    29     3    0.91920140  156.68829326
    29     4    0.91917855  157.60747181
    29     5    0.91912822  158.52660004
    29     6    0.91909415  159.44569419
    30     1    0.90700981  160.35270400
    30     2    0.90705773  161.25976173
    30     3    0.90709101  162.16685274
    30     4    0.90707871  163.07393145
    30     5    0.90703181  163.98096326
    30     6    0.90699557  164.88795883
    31     1    0.91156198  165.79952081
    31     2    0.91158341  166.71110422
    31     3    0.91163777  167.62274199
    31     4    0.91167063  168.53441262
    31     5    0.91165389  169.44606651
    31     6    0.91160275  170.35766926
    32     1    0.92679862  171.28446787
    32     2    0.92681289  172.21128077
    32     3    0.92684968  173.13813045
    32     4    0.92687485  174.06500530
    32     5    0.92687095  174.99187624
    32     6    0.92682814  175.91870439
    33     1    0.92317214  176.84187652
    33     2    0.92319148  177.76506801
    33     3    0.92318808  178.68825609
    33     4    0.92317075  179.61142684
    33     5    0.92316184  180.53458869
    33     6    0.92314661  181.45773530
    34     1    0.90560774  182.36334303
    34     2    0.90561302  183.26895606
    34     3    0.90562247  184.17457853
    34     4    0.90562328  185.08020181
    34     5    0.90562061  185.98582242
    34     6    0.90559474  186.89141716
    35     1    0.90767697  187.79909412
    35     2    0.90769234  188.70678646
    35     3    0.90773045  189.61451691
    35     4    0.90775033  190.52226724
    35     5    0.90774289  191.43001013
    35     6    0.90769454  192.33770467
    36     1    0.94369796  193.28140263
    36     2    0.94371029  194.22511292
    36     3    0.94373089  195.16884381
    36     4    0.94373578  196.11257959
    36     5    0.94372341  197.05630300
    36     6    0.94369700  198.00000000
 
 Nx=          48 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         264 N_down=           0 M1=        3600 
 M2=        8000
     1     1    0.94398662    0.94398662
     1     2    0.94401199    1.88799861
     1     3    0.94402455    2.83202316
     1     4    0.94401910    3.77604226
     1     5    0.94400042    4.72004268
     1     6    0.94398673    5.66402941
     2     1    0.90806853    6.57209793
     2     2    0.90811729    7.48021522
     2     3    0.90812585    8.38834107
     2     4    0.90810321    9.29644428
     2     5    0.90806575   10.20451003
     2     6    0.90805089   11.11256093
     3     1    0.90578723   12.01834816
     3     2    0.90581204   12.92416019
     3     3    0.90581378   13.82997397
     3     4    0.90581224   14.73578622
     3     5    0.90580302   15.64158923
     3     6    0.90579789   16.54738712
     4     1    0.92326727   17.47065439
     4     2    0.92328066   18.39393505
     4     3    0.92328837   19.31722342
     4     4    0.92330613   20.24052955
     4     5    0.92331002   21.16383957
     4     6    0.92328968   22.08712925
     5     1    0.92728141   23.01441066
     5     2    0.92732232   23.94173298
     5     3    0.92732464   24.86905762
     5     4    0.92729944   25.79635706
     5     5    0.92726345   26.72362050
     5     6    0.92724764   27.65086814
     6     1    0.91217380   28.56304194
     6     2    0.91222322   29.47526516
     6     3    0.91223782   30.38750298
     6     4    0.91220314   31.29970612
     6     5    0.91214877   32.21185489
     6     6    0.91212677   33.12398166
     7     1    0.90714210   34.03112376
     7     2    0.90717674   34.93830050
     7     3    0.90722129   35.84552179
     7     4    0.90723178   36.75275357
     7     5    0.90719843   37.65995200
     7     6    0.90715025   38.56710224
     8     1    0.91911165   39.48621389
     8     2    0.91914410   40.40535799
     8     3    0.91919244   41.32455043
     8     4    0.91921505   42.24376548
     8     5    0.91919075   43.16295622
     8     6    0.91913457   44.08209079
     9     1    0.92289329   45.00498408
     9     2    0.92294358   45.92792767
     9     3    0.92297026   46.85089793
     9     4    0.92295385   47.77385178
     9     5    0.92290939   48.69676117
     9     6    0.92286872   49.61962989
    10     1    0.91165935   50.53128924
    10     2    0.91171352   51.44300277
    10     3    0.91174017   52.35474294
    10     4    0.91171523   53.26645817
    10     5    0.91166149   54.17811966
    10     6    0.91162305   55.08974271
    11     1    0.90866776   55.99841047
    11     2    0.90870585   56.90711631
    11     3    0.90875435   57.81587067
    11     4    0.90876648   58.72463715
    11     5    0.90873055   59.63336770
    11     6    0.90867516   60.54204286
    12     1    0.91959808   61.46164095
    12     2    0.91963317   62.38127411
    12     3    0.91968501   63.30095913
    12     4    0.91970655   64.22066568
    12     5    0.91967730   65.14034298
    12     6    0.91961750   66.05996048
    13     1    0.92203989   66.98200036
    13     2    0.92209220   67.90409256
    13     3    0.92212422   68.82621678
    13     4    0.92210987   69.74832666
    13     5    0.92206246   70.67038912
    13     6    0.92201727   71.59240639
    14     1    0.91125897   72.50366536
    14     2    0.91131376   73.41497911
    14     3    0.91134447   74.32632358
    14     4    0.91132252   75.23764610
    14     5    0.91126905   76.14891515
    14     6    0.91122667   77.06014182
    15     1    0.90933860   77.96948042
    15     2    0.90937715   78.87885757
    15     3    0.90942670   79.78828427
    15     4    0.90943992   80.69772419
    15     5    0.90940412   81.60712832
    15     6    0.90934691   82.51647523
    16     1    0.92009706   83.43657229
    16     2    0.92013329   84.35670557
    16     3    0.92018522   85.27689079
    16     4    0.92020550   86.19709630
    16     5    0.92017494   87.11727123
    16     6    0.92011471   88.03738595
    17     1    0.92160392   88.95898986
    17     2    0.92165718   89.88064704
    17     3    0.92169026   90.80233730
    17     4    0.92167548   91.72401278
    17     5    0.92162700   92.64563978
    17     6    0.92158122   93.56722100
    18     1    0.91088947   94.47811047
    18     2    0.91094448   95.38905495
    18     3    0.91097655   96.30003150
    18     4    0.91095595   97.21098745
    18     5    0.91090309   98.12189054
    18     6    0.91085920   99.03274974
    19     1    0.90983953   99.94258926
    19     2    0.90987796  100.85246723
    19     3    0.90992791  101.76239514
    19     4    0.90994170  102.67233684
    19     5    0.90990639  103.58224323
    19     6    0.90984830  104.49209153
    20     1    0.92058708  105.41267861
    20     2    0.92062439  106.33330300
    20     3    0.92067544  107.25397844
    20     4    0.92069423  108.17467267
    20     5    0.92066254  109.09533521
    20     6    0.92060266  110.01593786
    21     1    0.92126411  110.93720197
    21     2    0.92131787  111.85851984
    21     3    0.92135059  112.77987043
    21     4    0.92133419  113.70120462
    21     5    0.92128504  114.62248966
    21     6    0.92123938  115.54372904
    22     1    0.91053810  116.45426714
    22     2    0.91059280  117.36485993
    22     3    0.91062552  118.27548546
    22     4    0.91060649  119.18609194
    22     5    0.91055404  120.09664598
    22     6    0.91050928  121.00715526
    23     1    0.91028174  121.91743700
    23     2    0.91032048  122.82775749
    23     3    0.91037117  123.73812866
    23     4    0.91038628  124.64851494
    23     5    0.91035184  125.55886678
    23     6    0.91029333  126.46916011
    24     1    0.92102373  127.39018384
    24     2    0.92106259  128.31124643
    24     3    0.92111374  129.23236017
    24     4    0.92113088  130.15349105
    24     5    0.92109813  131.07458918
    24     6    0.92103807  131.99562725
    25     1    0.92089559  132.91652284
    25     2    0.92095021  133.83747305
    25     3    0.92098294  134.75845599
    25     4    0.92096410  135.67942009
    25     5    0.92091280  136.60033290
    25     6    0.92086688  137.52119978
    26     1    0.91015570  138.43135548
    26     2    0.91020806  139.34156353
    26     3    0.91024190  140.25180543
    26     4    0.91022496  141.16203039
    26     5    0.91017355  142.07220395
    26     6    0.91012840  142.98233235
    27     1    0.91067395  143.89300630
    27     2    0.91071009  144.80371639
    27     3    0.91076162  145.71447802
    27     4    0.91077894  146.62525696
    27     5    0.91074590  147.53600286
    27     6    0.91068637  148.44668923
    28     1    0.92139725  149.36808648
    28     2    0.92143303  150.28951952
    28     3    0.92148213  151.21100165
    28     4    0.92149774  152.13249940
    28     5    0.92146532  153.05396471
    28     6    0.92140747  153.97537219
    29     1    0.92047047  154.89584266
    29     2    0.92053659  155.81637925
    29     3    0.92056402  156.73694327
    29     4    0.92054190  157.65748516
    29     5    0.92048913  158.57797430
    29     6    0.92044375  159.49841805
    30     1    0.90974789  160.40816594
    30     2    0.90980987  161.31797581
    30     3    0.90984530  162.22782111
    30     4    0.90983112  163.13765222
    30     5    0.90978325  164.04743547
    30     6    0.90973498  164.95717046
    31     1    0.91106725  165.86823771
    31     2    0.91110776  166.77934547
    31     3    0.91115952  167.69050500
    31     4    0.91117878  168.60168377
    31     5    0.91114526  169.51282903
    31     6    0.91109333  170.42392236
    32     1    0.92175761  171.34567997
    32     2    0.92180328  172.26748324
    32     3    0.92185093  173.18933417
    32     4    0.92186494  174.11119912
    32     5    0.92183120  175.03303032
    32     6    0.92177860  175.95480892
    33     1    0.92001619  176.87482511
    33     2    0.92007637  177.79490148
    33     3    0.92010635  178.71500782
    33     4    0.92008529  179.63509312
    33     5    0.92003289  180.55512601
    33     6    0.91999681  181.47512282
    34     1    0.90929439  182.38441721
    34     2    0.90935159  183.29376880
    34     3    0.90938720  184.20315600
    34     4    0.90937372  185.11252973
    34     5    0.90932384  186.02185357
    34     6    0.90928506  186.93113862
    35     1    0.91144295  187.84258157
    35     2    0.91148533  188.75406690
    35     3    0.91153828  189.66560519
    35     4    0.91156000  190.57716519
    35     5    0.91152906  191.48869425
    35     6    0.91147420  192.40016845
    36     1    0.92219709  193.32236554
    36     2    0.92224256  194.24460810
    36     3    0.92228919  195.16689729
    36     4    0.92230290  196.08920019
    36     5    0.92227009  197.01147028
    36     6    0.92221784  197.93368812
    37     1    0.91956615  198.85325427
    37     2    0.91962620  199.77288047
    37     3    0.91965503  200.69253550
    37     4    0.91963273  201.61216824
    37     5    0.91958039  202.53174862
    37     6    0.91954496  203.45129358
    38     1    0.90867367  204.35996725
    38     2    0.90872913  205.26869637
    38     3    0.90876485  206.17746122
    38     4    0.90875266  207.08621388
    38     5    0.90870400  207.99491788
    38     6    0.90866547  208.90358335
    39     1    0.91183554  209.81541889
    39     2    0.91187394  210.72729283
    39     3    0.91192730  211.63922013
    39     4    0.91195228  212.55117241
    39     5    0.91192531  213.46309772
    39     6    0.91187088  214.37496860
    40     1    0.92304178  215.29801038
    40     2    0.92308270  216.22109309
    40     3    0.92312650  217.14421959
    40     4    0.92314198  218.06736157
    40     5    0.92311481  218.99047638
    40     6    0.92306437  219.91354075
    41     1    0.91913474  220.83267549
    41     2    0.91919112  221.75186661
    41     3    0.91921492  222.67108153
    41     4    0.91919180  223.59027332
    41     5    0.91914300  224.50941633
    41     6    0.91911029  225.42852662
    42     1    0.90719617  226.33572279
    42     2    0.90724428  227.24296707
    42     3    0.90727740  228.15024448
    42     4    0.90726696  229.05751144
    42     5    0.90722233  229.96473377
    42     6    0.90718718  230.87192095
    43     1    0.91231981  231.78424076
    43     2    0.91234172  232.69658247
    43     3    0.91239587  233.60897834
    43     4    0.91243040  234.52140875
    43     5    0.91241572  235.43382446
    43     6    0.91236573  236.34619019
    44     1    0.92740241  237.27359261
    44     2    0.92741832  238.20101093
    44     3    0.92745370  239.12846463
    44     4    0.92747849  240.05594312
    44     5    0.92747595  240.98341907
    44     6    0.92743483  241.91085390
    45     1    0.92333001  242.83418391
    45     2    0.92335039  243.75753430
    45     3    0.92334615  244.68088046
    45     4    0.92332821  245.60420867
    45     5    0.92332039  246.52752906
    45     6    0.92330680  247.45083586
    46     1    0.90586312  248.35669898
    46     2    0.90586818  249.26256716
    46     3    0.90587753  250.16844469
    46     4    0.90587902  251.07432371
    46     5    0.90587710  251.98020081
    46     6    0.90585210  252.88605291
    47     1    0.90818047  253.79423338
    47     2    0.90819497  254.70242835
    47     3    0.90823363  255.61066198
    47     4    0.90825478  256.51891676
    47     5    0.90824668  257.42716344
    47     6    0.90819794  258.33536139
    48     1    0.94408878  259.27945017
    48     2    0.94410175  260.22355192
    48     3    0.94412097  261.16767289
    48     4    0.94412586  262.11179875
    48     5    0.94411348  263.05591223
    48     6    0.94408777  264.00000000
 
