Nx=24 Ny= 6  N_up=132
          55         106  6.207100229641862E-006 -6.553506019389814E-023 
          55         107  8.522694391381156E-006 6.799389614592050E-021 
          55         108  -7.720446191015088E-006 3.854533634415380E-020 
          56          37  -1.014057690245818E-003 -6.065311210849038E-020 
          56          38  7.725213901955518E-004 -1.635230210522977E-020 
          56          39  -1.721315503526417E-003 -2.926065198970525E-020 
          56          40  -1.761430173679510E-003 -5.809409780856910E-019 
          56          41  8.056289664809447E-004 -1.146680649195160E-019 
          56          42  -9.705914660488651E-004 -3.182480437275737E-020 
          56          43  -3.969028447480515E-003 -5.593952912691126E-019 
          56          44  2.024159801124417E-003 2.290790757390906E-020 
          56          45  4.945566580601220E-003 1.351844106709069E-018 
          56          46  2.255233303334381E-003 -6.879717922379946E-019 
          56          47  -4.021753101529627E-003 -8.777584378691501E-019 
          56          48  -1.758980217529390E-004 -1.524290428551889E-018 
          56          49  6.403079088618751E-003 -1.798752476433965E-018 
          56          50  -7.689572393391191E-002 -3.922610426821510E-018 
          56          51  -7.715139460020878E-002 -3.128999120824251E-018 
          56          52  6.410758802228789E-003 -1.329691822199935E-019 
          56          53  -3.883042584128863E-003 2.156919430978950E-018 
          56          54  -3.953394356458403E-003 9.749911137448630E-019 
          56          55  -8.218712465897388E-002 1.495608286399971E-018 
          56          56  0.470435476255211 -2.956011479591275E-017 
          56          57  -8.195448325821748E-002 -1.997310995047648E-018 
          56          58  3.049022052045847E-003 3.356951431780236E-018 
          56          59  2.040451005376848E-003 -1.214152943495182E-019 
          56          60  3.070630635991474E-003 3.005796790340921E-018 
          56          61  -7.840629808290035E-002 1.306841535798494E-018 
          56          62  -7.840469656255836E-002 1.435748998122553E-018 
          56          63  6.565852394478570E-003 3.609156978898057E-018 
          56          64  -4.312972941257621E-003 6.855809589352995E-019 
          56          65  -4.382338986515020E-003 1.284767006846026E-018 
          56          66  6.445720835408050E-003 -1.219115332056631E-018 
          56          67  5.054120588722242E-003 5.264831282502903E-019 
          56          68  2.506997638230685E-003 3.912311703420128E-019 
          56          69  -4.110039956151014E-003 6.845214635510586E-019 
          56          70  9.286199923065361E-004 7.531697798726127E-021 
          56          71  -3.963512464283463E-003 5.422495174250750E-020 
          56          72  2.414753888749571E-003 4.478510383354510E-019 
          56          73  -1.973546819837726E-003 3.812190817901284E-021 
          56          74  7.431934327190769E-004 -3.437559039904941E-019 
          56          75  -1.281217283810576E-003 -4.181719857670844E-020 
          56          76  -1.335934820909842E-003 1.748328571353686E-019 
          56          77  7.069498136333390E-004 5.882312155623674E-020 
          56          78  -1.905122320568273E-003 -1.762614086561150E-019 
          56          79  -3.956037776020302E-004 5.827209900000113E-020 
          56          80  -1.688729461591615E-004 -2.086730812843947E-020 
          56          81  -1.581496634007149E-004 1.629695309186383E-019 
          56          82  -1.827968235663192E-004 1.490659778509366E-020 
          56          83  -3.707163415781043E-004 -9.305648760452093E-021 
          56          84  -5.109036104174971E-004 3.200892619881356E-019 
          56          85  -1.136334419455202E-004 3.166323291157327E-020 
          56          86  9.185877121327679E-005 4.609040000813574E-020 
          56          87  8.249405840225630E-005 -7.464036470280833E-020 
          56          88  -9.555977260972901E-005 3.055768022398114E-020 
          56          89  -7.424141542535339E-005 -6.914005243194382E-020 
          56          90  -1.024288864156942E-004 -8.405953929545063E-020 
          56          91  3.058766001075011E-005 -2.321294943958226E-020 
          56          92  -3.805884815470299E-004 6.598376472351383E-020 
          56          93  3.626966046193473E-005 -3.131819594783553E-020 
          56          94  -9.335862381677661E-005 4.096108417751928E-020 
          56          95  -6.251588267148883E-005 -4.441569776799134E-020 
          56          96  -9.051667663594169E-005 -1.748480490970823E-019 
          56          97  1.755480731628890E-006 -1.114433514107369E-019 
          56          98  3.099785903713321E-006 5.021126902059663E-021 
          56          99  -4.520854892838364E-005 -6.763465037707328E-020 
          56         100  3.449954464521087E-005 1.573377839759360E-020 
          56         101  2.987960596680417E-005 2.162338494153023E-020 
          56         102  -4.221040096858269E-005 -2.831997422422399E-020 
          56         103  -7.427297803487422E-006 1.555077165056618E-020 
          56         104  8.420008192647106E-006 -4.164611804862761E-021 
          56         105  7.100009373581052E-006 -5.816027021879840E-021 
          56         106  -4.436449650926199E-005 -2.189097246961033E-021 
          56         107  7.599519275087830E-006 -1.623138629584073E-021 
          56         108  7.800399408494703E-006 -6.594096717762341E-021 
          57          37  -9.518781496224457E-004 -1.439383546056147E-019 
          57          38  -9.135109946358844E-004 -1.929396418533720E-019 
          57          39  7.586002283200641E-004 -1.007502715742142E-019 
          57          40  -1.737392986152409E-003 3.497324486582505E-019 
          57          41  -1.742253959884986E-003 -1.003627248011691E-019 
          57          42  8.012002341893599E-004 -7.485013253314071E-020 
          57          43  -2.012847726490895E-004 -1.864809328901342E-018 
          57          44  -3.852736180333528E-003 -3.666210472196743E-019 
          57          45  2.014432239631564E-003 -1.012114728082154E-020 
          57          46  4.940256809102902E-003 -1.821995591026129E-018 
          57          47  2.252869240425134E-003 -2.312080251276485E-019 
          57          48  -4.032279606191586E-003 -1.982979812441981E-018 
          57          49  -3.854950054472006E-003 6.013732243514784E-018 
          57          50  6.362895342134667E-003 1.609834529785182E-018 
          57          51  -7.671035460904423E-002 -2.424898025509118E-018 
          57          52  -7.762765491940821E-002 5.300301647225186E-018 
          57          53  6.422669026983307E-003 2.965588493595725E-018 
          57          54  -3.854314949507732E-003 -2.766590003568725E-019 
          57          55  3.047586817875469E-003 3.991378107841669E-018 
          57          56  -8.195448325821748E-002 -1.997310995047648E-018 
          57          57  0.470433773998955 4.160178346593435E-017 
          57          58  -8.211341796748671E-002 1.286654214451792E-017 
          57          59  3.033236999846659E-003 -5.832939500311700E-019 
          57          60  1.984121369598830E-003 7.066318283754840E-019 
          57          61  6.507832388628544E-003 -1.394611521501961E-018 
          57          62  -7.837742736847585E-002 6.399673958034684E-018 
          57          63  -7.838796632028359E-002 -1.157163353774032E-018 
          57          64  6.532028560820489E-003 2.404949145602027E-018 
          57          65  -4.255876673622030E-003 3.623527462628264E-018 
          57          66  -4.256046638009946E-003 -1.561583702371237E-018 
          57          67  2.601781310350542E-003 -1.423644644509580E-018 
          57          68  5.054083883989973E-003 -6.070646330212054E-019 
          57          69  2.478936211018540E-003 2.277211795566815E-020 
          57          70  -4.118625047558399E-003 -3.815010149933400E-019 
          57          71  8.891726206453856E-004 -4.291325241243496E-019 
          57          72  -4.080174815660718E-003 7.383318912459840E-020 
          57          73  -2.009412384526315E-003 1.042131327833107E-019 
          57          74  -2.018780673477913E-003 -4.899869716552309E-019 
          57          75  7.061344164592459E-004 -1.654070251813804E-019 
          57          76  -1.261494084477338E-003 -3.418956118540366E-020 
          57          77  -1.312650807452546E-003 -4.337181677997003E-019 
          57          78  7.241727686127260E-004 -7.898001835365559E-020 
          57          79  -5.165710500213736E-004 4.226952955152072E-020 
          57          80  -3.715744746695253E-004 -5.987606014955954E-020 
          57          81  -1.846290502074007E-004 9.489056293445666E-020 
          57          82  -1.743624695857918E-004 -1.228342418675768E-019 
          57          83  -1.971465448187407E-004 -1.060220799647332E-019 
          57          84  -3.915527673740287E-004 -2.814798203198581E-020 
          57          85  -1.137314560660009E-004 -2.604919286552400E-021 
          57          86  -1.134421610926132E-004 -3.895910307544684E-020 
          57          87  9.471250830796741E-005 1.102155160652701E-020 
          57          88  8.384189145493519E-005 2.277557097817933E-020 
          57          89  -1.042376366736718E-004 -1.694151523561243E-020 
          57          90  -1.069899422544216E-004 -7.583630779258152E-020 
          57          91  -1.016509740702187E-004 -4.372917639140575E-020 
          57          92  3.356001763766989E-005 -1.471519073442249E-020 
          57          93  -3.932337555596280E-004 -3.044364710403470E-020 
          57          94  3.388015837017425E-005 1.249940202663059E-019 
          57          95  -9.560271937245602E-005 -6.174530284883658E-021 
          57          96  -6.751217254615317E-005 -4.988524573173018E-020 
          57          97  -4.863064196965459E-005 -1.225765128838498E-021 
          57          98  -5.986052104871887E-007 4.360245318040208E-020 
          57          99  -3.321144043729685E-006 2.629181658354292E-020 
          57         100  -4.906722638123291E-005 3.430925249296764E-020 
          57         101  3.430860792708662E-005 8.161120461673390E-020 
          57         102  3.046261872991387E-005 3.406596661886266E-020 
          57         103  9.373957763459477E-006 -2.556566563154831E-020 
          57         104  -7.978045234704700E-006 -3.130362906416636E-020 
          57         105  8.069705396474602E-006 3.229427859401000E-021 
          57         106  7.016316470436241E-006 -9.959518837851983E-021 
          57         107  -4.486866127357154E-005 -1.857588522377149E-020 
          57         108  5.254863624760425E-006 2.620125937811608E-020 
          58          37  7.768615591201924E-004 6.401102683753720E-020 
          58          38  -9.321164244433039E-004 -2.842023237474007E-019 
          58          39  -9.164274774287567E-004 -2.335686457308191E-019 
          58          40  7.675693401833764E-004 1.497738340377993E-019 
          58          41  -1.731398993514916E-003 -3.186586003938134E-019 
          58          42  -1.737226774315642E-003 2.746251154054210E-019 
          58          43  -3.911764871269927E-003 -1.564766623847323E-018 
          58          44  -1.259119257552030E-004 -4.973572443989840E-019 
          58          45  -3.919908461016977E-003 2.849515102996340E-019 
          58          46  2.032489895878784E-003 2.155408350522758E-019 
          58          47  4.990772672225829E-003 5.811486407065864E-019 
          58          48  2.205934651832653E-003 7.855232857423667E-020 
          58          49  -3.852160121420443E-003 1.198786522400202E-018 
          58          50  -3.866149601584604E-003 1.354369140479147E-018 
          58          51  6.358316670217245E-003 -1.065712059159359E-018 
          58          52  -7.701648657846309E-002 8.555264068625944E-019 
          58          53  -7.760276368921193E-002 -6.311698103130840E-019 
          58          54  6.402853908655259E-003 -6.449725407923373E-018 
          58          55  2.035493099044593E-003 -1.355706748753225E-018 
          58          56  3.049022052045847E-003 3.356951431780236E-018 
          58          57  -8.211341796748671E-002 1.286654214451792E-017 
          58          58  0.470439239930231 6.183978663072826E-018 
          58          59  -8.154890393012228E-002 8.961915690060700E-018 
          58          60  3.039382537223719E-003 -4.582569187531313E-018 
          58          61  -4.300143239281223E-003 7.805620529343856E-019 
          58          62  6.542640997524950E-003 1.540058345817343E-018 
          58          63  -7.874467913681291E-002 -1.041339663618120E-017 
          58          64  -7.818304467031052E-002 -5.989792518062447E-018 
          58          65  6.452493299829361E-003 -3.250884262753382E-018 
          58          66  -4.265816549301613E-003 1.902720597856915E-019 
          58          67  -4.192911733648443E-003 -5.102873235885154E-019 
          58          68  2.648091299078343E-003 6.419469133827842E-019 
          58          69  5.095394144983243E-003 2.470399708751643E-019 
          58          70  2.478054934560993E-003 6.323956272390831E-019 
          58          71  -4.046288265781011E-003 2.700462110869285E-019 
          58          72  8.439648066470539E-004 -5.212593569039428E-019 
          58          73  7.288996927146126E-004 2.126705191658814E-019 
          58          74  -2.050763449717108E-003 -5.220358003977795E-020 
          58          75  -2.008079933956511E-003 1.773512534268709E-019 
          58          76  6.996266774611889E-004 -1.764733666522842E-019 
          58          77  -1.269686183677466E-003 -1.389608948343531E-019 
          58          78  -1.317932176831580E-003 2.001238650577635E-019 
          58          79  -3.986406524784688E-004 7.698618757602067E-020 
          58          80  -4.749849669417020E-004 1.478454195656269E-019 
          58          81  -3.725657075026805E-004 -1.741457691862879E-020 
          58          82  -1.861157476865052E-004 4.960686843304838E-020 
          58          83  -1.685319828055856E-004 1.852510182523720E-020 
          58          84  -1.831407417629412E-004 3.313462153177777E-020 
          58          85  -1.309760224688536E-004 2.175563425429831E-020 
          58          86  -1.229406153896441E-004 -1.994818253216714E-020 
          58          87  -1.230258466404742E-004 -7.811389538729135E-021 
          58          88  9.509290302704594E-005 -1.373891871922865E-019 
          58          89  9.123484105068897E-005 9.877832918905690E-020 
          58          90  -1.215300326923298E-004 -9.684397978508831E-020 
          58          91  -6.778513575283259E-005 4.031904290751925E-021 
          58          92  -9.740318113454665E-005 3.040387399223863E-020 
          58          93  3.279139356199277E-005 3.833534818727914E-021 
          58          94  -3.876219138324357E-004 2.264437743481747E-020 
          58          95  3.607646821333775E-005 -3.633490112674036E-019 
          58          96  -1.039231891508225E-004 -3.139509186263456E-020 
          58          97  3.673342724403925E-005 -2.564856779498590E-020 
          58          98  -4.738045703093116E-005 -1.451943864191192E-020 
          58          99  -2.177760475157032E-006 -1.787935707188596E-020 
          58         100  -8.974911701146789E-007 6.835964459048629E-020 
          58         101  -4.807189868971637E-005 8.767838775985232E-020 
          58         102  3.964034526587869E-005 1.590325035879704E-019 
          58         103  7.022531752330040E-006 2.221461005073688E-020 
          58         104  9.475937523670840E-006 2.310426339534434E-021 
          58         105  -7.345802070618908E-006 -1.482391352100054E-020 
          58         106  8.927628627164601E-006 1.114634993693215E-020 
          58         107  5.842764614108489E-006 2.464181145866472E-020 
          58         108  -4.800540390196301E-005 -2.533663410322289E-020 
          59          37  -1.610547941832753E-003 -1.803793311068380E-019 
          59          38  7.199797634325533E-004 -7.304751464216059E-020 
          59          39  -9.617135939430372E-004 -4.124353261404792E-019 
          59          40  -9.204629661920789E-004 7.141082363070656E-020 
          59          41  7.790868479835558E-004 5.178674834693953E-020 
          59          42  -1.644594672915372E-003 -3.727507551301600E-019 
          59          43  1.976955803273136E-003 -8.759686262248311E-019 
          59          44  -3.758818535283509E-003 -9.846366483777173E-019 
          59          45  -6.950312605618189E-005 -5.666099291267250E-020 
          59          46  -3.857230746228256E-003 -8.190318890915605E-019 
          59          47  2.082207633117621E-003 3.693551974914823E-019 
          59          48  4.917193805116420E-003 -1.019984753620790E-018 
          59          49  6.326099836521532E-003 -1.056344111783897E-019 
          59          50  -3.951233820194382E-003 -1.619156835186430E-018 
          59          51  -3.822137398163245E-003 1.070580716222123E-018 
          59          52  6.308231968236451E-003 2.756000796403378E-018 
          59          53  -7.695788440764177E-002 -1.970328214815229E-017 
          59          54  -7.733530971273496E-002 -6.350086939656332E-018 
          59          55  3.079414303342441E-003 -3.852487564003828E-018 
          59          56  2.040451005376848E-003 -1.214152943495182E-019 
          59          57  3.033236999846659E-003 -5.832939500311700E-019 
          59          58  -8.154890393012228E-002 8.961915690060700E-018 
          59          59  0.470417055842577 3.658283186405101E-017 
          59          60  -8.242478482199171E-002 6.772774146274784E-018 
          59          61  -4.366415170005641E-003 -5.212286637014678E-018 
          59          62  -4.284205466815307E-003 3.837281863530048E-018 
          59          63  6.544039521013610E-003 -2.271233759875140E-018 
          59          64  -7.882958878527330E-002 -1.771119259531580E-018 
          59          65  -7.820099416139187E-002 -5.382869572183898E-019 
          59          66  6.497429068275417E-003 -4.711510167366695E-018 
          59          67  8.597247768324663E-004 7.446152985135606E-019 
          59          68  -4.168161544377100E-003 1.926983330952729E-018 
          59          69  2.667846435983182E-003 -5.411619248575706E-019 
          59          70  5.097309282098134E-003 2.078502196967619E-019 
          59          71  2.487305198311477E-003 2.660806914001152E-019 
          59          72  -4.124960849554341E-003 -5.512863877912598E-020 
          59          73  -1.309611829944290E-003 -4.034809169614205E-019 
          59          74  7.303303304115703E-004 8.017232081094705E-020 
          59          75  -2.075321745950018E-003 -4.555992804260479E-019 
          59          76  -2.002144691898004E-003 2.491461027352862E-019 
          59          77  7.199483086651309E-004 2.371480627540859E-019 
          59          78  -1.377302707320034E-003 1.003424293136645E-019 
          59          79  -1.849276863733253E-004 -1.658864028625976E-019 
          59          80  -4.017472224217503E-004 1.167523062064734E-019 
          59          81  -4.687782088337167E-004 -7.954236439480430E-020 
          59          82  -3.827491607374368E-004 4.932611340238861E-020 
          59          83  -1.568711378594246E-004 -1.631068530767781E-019 
          59          84  -1.928762878418157E-004 -2.165249879486465E-019 
          59          85  -1.330611711629530E-004 2.148944854846930E-020 
          59          86  -1.227863162835361E-004 1.418793712828454E-020 
          59          87  -1.245116016723656E-004 4.616208007171908E-020 
          59          88  -1.019697607216481E-004 4.912583357775927E-020 
          59          89  8.078249004113366E-005 4.438747938151996E-020 
          59          90  9.644454557759139E-005 4.436892341253799E-020 
          59          91  -9.575661751519039E-005 -1.956951737706375E-020 
          59          92  -6.254455104047452E-005 -5.591249000453390E-020 
          59          93  -9.939494219327509E-005 -5.997541442178909E-020 
          59          94  3.286353913676237E-005 2.797466939390834E-020 
          59          95  -3.815068602993761E-004 1.987354325572267E-020 
          59          96  3.045931567047713E-005 9.027935591010349E-020 
          59          97  3.133380169924279E-005 -6.683160201859011E-020 
          59          98  3.707032064811898E-005 3.237703944435809E-021 
          59          99  -5.073374950539802E-005 1.132732733705031E-019 
          59         100  -3.978419773845109E-006 -6.934087091579759E-020 
          59         101  -5.757698379607207E-006 3.714913770423512E-020 
          59         102  -4.697455743190221E-005 2.449945417386884E-020 
          59         103  -4.932233794480629E-005 -1.271251153982793E-020 
          59         104  5.766988896903218E-006 2.742611576584935E-020 
          59         105  9.702744136182166E-006 2.223967213703024E-023 
          59         106  -6.793299135033664E-006 -9.152595868585383E-022 
          59         107  9.000740655928311E-006 -1.904297767090855E-021 
          59         108  5.634058014603684E-006 8.187718379023567E-021 
          60          37  -1.786612130258059E-003 2.804019485534464E-019 
          60          38  -1.594183211415801E-003 -2.276694348224769E-019 
          60          39  7.754088189430146E-004 -1.036556760846479E-019 
          60          40  -9.685680155817126E-004 1.067663641497771E-019 
          60          41  -9.907536022921827E-004 -2.503025727456414E-019 
          60          42  8.088195439624465E-004 1.705562203365264E-019 
          60          43  4.536350627812731E-003 1.576968045004963E-019 
          60          44  1.972549061940451E-003 1.399375769958093E-018 
          60          45  -3.912580539939667E-003 6.255753319775393E-019 
          60          46  -1.559263783141628E-004 4.710914702746215E-019 
          60          47  -4.022471955839551E-003 -1.393465650848456E-018 
          60          48  2.363985695324581E-003 1.735120456157984E-018 
          60          49  -7.529274891464863E-002 -1.428880467742590E-017 
          60          50  6.291107949466074E-003 -5.702905019783841E-019 
          60          51  -3.852179020951776E-003 2.310254825679803E-018 
          60          52  -3.852114111054283E-003 3.488715403231273E-018 
          60          53  6.388218305310289E-003 3.569636005297474E-018 
          60          54  -7.732952548904255E-002 1.835632589387137E-017 
          60          55  -8.226738291214199E-002 -5.810832569233075E-020 
          60          56  3.070630635991474E-003 3.005796790340921E-018 
          60          57  1.984121369598830E-003 7.066318283754840E-019 
          60          58  3.039382537223719E-003 -4.582569187531313E-018 
          60          59  -8.242478482199171E-002 6.772774146274784E-018 
          60          60  0.470408338179672 1.855234892702599E-017 
          60          61  6.524581141986507E-003 -1.545541031200548E-018 
          60          62  -4.326381817205851E-003 -2.598900037152477E-018 
          60          63  -4.299322530315377E-003 -3.778268013699897E-018 
          60          64  6.613172921470870E-003 2.021175327094133E-018 
          60          65  -7.870146669513757E-002 -1.331552871407416E-018 
          60          66  -7.841371370621869E-002 1.770367495946642E-018 
          60          67  -4.130269001878573E-003 -1.833014215554018E-018 
          60          68  8.604040760787482E-004 2.135735403814376E-019 
          60          69  -4.234911036916937E-003 -1.013361547993661E-018 
          60          70  2.617768560303826E-003 -1.678016148865204E-018 
          60          71  5.006437575420630E-003 -7.096235822660014E-019 
          60          72  2.695003453207629E-003 1.532638507338103E-019 
          60          73  -1.373031095867923E-003 2.262543664637595E-019 
          60          74  -1.305066072511410E-003 6.013509380318166E-020 
          60          75  7.419170353461576E-004 -4.816846606204320E-019 
          60          76  -2.001844457499262E-003 1.110360074129457E-020 
          60          77  -1.925490986891478E-003 -9.784431126403402E-020 
          60          78  7.474542110632117E-004 1.898135643292099E-019 
          60          79  -2.128750282879499E-004 -9.497906963607648E-020 
          60          80  -1.818356642505528E-004 -3.998434805714905E-021 
          60          81  -4.148269056356565E-004 -7.822411648927103E-020 
          60          82  -5.057001628873524E-004 4.292100062270132E-020 
          60          83  -4.218831739589978E-004 -3.781505119347276E-021 
          60          84  -1.997916947490979E-004 6.097420695461304E-020 
          60          85  9.104301752629373E-005 2.158995747566743E-020 
          60          86  -1.249624152510076E-004 -1.418429098903386E-019 
          60          87  -1.276212315820738E-004 -2.793370415577020E-020 
          60          88  -1.066480649523459E-004 -6.035696295102063E-021 
          60          89  -1.004006354363873E-004 -4.406510670403495E-020 
          60          90  7.820744883438581E-005 5.100286735028831E-020 
          60          91  2.827135320007103E-005 4.519530549815897E-020 
          60          92  -9.354817173084827E-005 -5.439794026305980E-021 
          60          93  -6.385795586171566E-005 1.307854594932862E-020 
          60          94  -1.004099863833952E-004 1.065013234611690E-020 
          60          95  3.053552548341225E-005 -4.976772221115050E-020 
          60          96  -4.010357698319431E-004 7.270468210164544E-020 
          60          97  -4.612886668635920E-005 2.092144081683113E-019 
          60          98  2.937982828251530E-005 9.575859046638556E-020 
          60          99  3.656810412185465E-005 4.447476908789556E-020 
          60         100  -4.963039082111051E-005 2.020664968830776E-020 
          60         101  -6.902698948532735E-006 3.464658852426116E-020 
          60         102  -3.574691193337892E-006 2.754016522305057E-020 
          60         103  5.243569548300956E-006 1.776729124471082E-020 
          60         104  -4.894238436282764E-005 2.013418213236857E-020 
          60         105  6.821751055042614E-006 -4.337464275107526E-020 
          60         106  1.039703133425635E-005 1.160281465159670E-021 
          60         107  -6.322149605473484E-006 -1.006944564307031E-020 
          60         108  1.064099246703268E-005 -1.889283950901462E-020 
          61          37  -3.030056438347791E-004 1.734582159350987E-019 
          61          38  -5.789202419678682E-004 -7.112986951622265E-020 
          61          39  -5.762115091342749E-004 6.906648927397068E-020 
          61          40  -5.819371022558922E-004 -1.618691774334153E-019 
          61          41  -2.963563943303691E-004 -5.860682418417968E-020 
          61          42  -2.145248524440017E-004 -3.256954659957634E-020 
          61          43  9.820919984734285E-004 9.142932083655178E-020 
          61          44  -2.218957486768535E-003 3.584020676240338E-019 
          61          45  -2.323867135383701E-003 6.188944886177729E-019 
          61          46  1.001947518149414E-003 -9.071423126821532E-020 
          61          47  -1.583330291055326E-003 2.365538524370754E-019 
          61          48  -1.607983204370094E-003 1.541725854531070E-019 
          61          49  2.624636245798367E-003 -3.152186038816956E-019 
          61          50  5.274367636382456E-003 -5.390129310730749E-019 
          61          51  2.530813620417534E-003 -1.467623352584898E-018 
          61          52  -4.363550426144080E-003 -9.605558186541100E-019 
          61          53  9.724046874772640E-004 2.418742350417355E-018 
          61          54  -4.348055084197998E-003 4.284564227168065E-018 
          61          55  -7.874547835966522E-002 8.959133796347856E-018 
          61          56  -7.840629808290035E-002 1.306841535798494E-018 
          61          57  6.507832388628544E-003 -1.394611521501961E-018 
          61          58  -4.300143239281223E-003 7.805620529343856E-019 
          61          59  -4.366415170005641E-003 -5.212286637014678E-018 
          61          60  6.524581141986507E-003 -1.545541031200548E-018 
          61          61  0.470191351726828 -5.041399450654460E-017 
          61          62  -8.177783982327276E-002 -1.090208672854341E-017 
          61          63  3.023124374667969E-003 3.603067199897783E-018 
          61          64  1.926771638330339E-003 -2.863028753530071E-018 
          61          65  3.032429316118939E-003 -1.246452946201134E-017 
          61          66  -8.184576417735505E-002 -3.483609632682573E-018 
          61          67  -7.777719051673711E-002 6.890129766806878E-019 
          61          68  6.096924197421392E-003 1.827231327733602E-018 
          61          69  -3.581372160535335E-003 1.723985112347267E-020 
          61          70  -3.569733022928154E-003 6.586588529976890E-018 
          61          71  6.010517644512745E-003 -3.011850540493406E-019 
          61          72  -7.625189707766335E-002 -1.641593706012894E-018 
          61          73  2.451652874552544E-003 -2.977708488608175E-019 
          61          74  -3.463444525162108E-003 -1.127951123207016E-018 
          61          75  -1.782283542011269E-004 -9.862082006436331E-019 
          61          76  -3.421096269851928E-003 -1.676377636282271E-019 
          61          77  2.146893470877915E-003 -7.800520678304368E-020 
          61          78  4.375386069246527E-003 4.792514233973618E-019 
          61          79  5.493581503942006E-004 -8.995860709107165E-020 
          61          80  -8.593319576836058E-004 9.664082394515670E-020 
          61          81  -8.271080512121235E-004 -7.932958484285862E-021 
          61          82  5.201907965579743E-004 -2.094316347523162E-019 
          61          83  -1.466574179578789E-003 -1.432382403336229E-019 
          61          84  -1.654081144233646E-003 4.482985224928842E-019 
          61          85  -2.460503045922337E-004 8.615874560543115E-021 
          61          86  -2.094786148148483E-004 -1.289507992254614E-019 
          61          87  -2.232431087030181E-004 2.419558718654236E-020 
          61          88  -3.395060767989435E-004 2.398615583617882E-020 
          61          89  -6.302238428498775E-004 1.767276404707845E-020 
          61          90  -3.646135573036196E-004 1.055395493259366E-019 
          61          91  4.161301685749784E-006 -4.704793873137552E-020 
          61          92  2.193195621824044E-005 2.613615814833566E-020 
          61          93  -1.023033321244670E-004 -3.952534882488388E-020 
          61          94  -2.220039405034087E-004 2.709400454119059E-019 
          61          95  -2.113679406775791E-004 9.757144432339146E-019 
          61          96  -9.374390096483921E-005 -3.170135405498820E-019 
          61          97  -2.877536273250214E-004 -1.499107475085205E-019 
          61          98  -5.780226364385397E-005 -5.958404716623184E-020 
          61          99  -3.513612591941136E-005 -2.168140204479970E-019 
          61         100  -2.888863625823943E-005 9.997155270659550E-020 
          61         101  -2.790079232029629E-005 -8.355966386109367E-020 
          61         102  -5.744655641318512E-005 -1.037823322975367E-019 
          61         103  -8.315177066250623E-005 -1.305099171744756E-020 
          61         104  -4.696783314816846E-005 -7.772236082440741E-020 
          61         105  -1.258517944409389E-005 -1.155509192706925E-020 
          61         106  -1.345175102095160E-005 -1.916858349570229E-020 
          61         107  -4.831322360214252E-005 -1.881730696310829E-021 
          61         108  -8.577355037403715E-005 -9.149621516623976E-021 
          62          37  -1.806316567973901E-004 5.946839815289352E-020 
          62          38  -2.560953921167643E-004 -3.543373058728715E-020 
          62          39  -5.372436784273399E-004 1.000930271154203E-020 
          62          40  -5.308957429836953E-004 -2.097023046801241E-019 
          62          41  -5.738375266265069E-004 -7.035874676089745E-020 
          62          42  -2.991527298479614E-004 -1.006476988621017E-020 
          62          43  -1.575176996932634E-003 4.215374235837380E-019 
          62          44  9.684126248790020E-004 3.222122239728827E-019 
          62          45  -2.307752375243034E-003 -2.437778107049058E-019 
          62          46  -2.361949180294212E-003 1.048376095224669E-019 
          62          47  1.019808452162257E-003 -1.144211655625637E-019 
          62          48  -1.582207136396297E-003 7.734128467708021E-019 
          62          49  -4.336207674531141E-003 -1.014802029527376E-018 
          62          50  2.416541720396873E-003 2.913039297726130E-019 
          62          51  5.264321479088623E-003 -7.767260918854232E-019 
          62          52  2.586297697249113E-003 -9.199699666975477E-019 
          62          53  -4.384919066182136E-003 -5.747169131845305E-019 
          62          54  9.595666038981416E-004 2.416280386271456E-018 
          62          55  6.558523203851125E-003 2.139456279040252E-018 
          62          56  -7.840469656255836E-002 1.435748998122553E-018 
          62          57  -7.837742736847585E-002 6.399673958034684E-018 
          62          58  6.542640997524950E-003 1.540058345817343E-018 
          62          59  -4.284205466815307E-003 3.837281863530048E-018 
          62          60  -4.326381817205851E-003 -2.598900037152477E-018 
          62          61  -8.177783982327276E-002 -1.090208672854341E-017 
          62          62  0.470188293572757 -9.502227470746896E-018 
          62          63  -8.183414687891680E-002 -4.460504113707628E-018 
          62          64  3.024005766689558E-003 7.745609429938595E-019 
          62          65  1.881732624727491E-003 -2.644103681240184E-018 
          62          66  3.014709828546722E-003 -4.430650604620522E-018 
          62          67  -7.779659221373172E-002 -9.614801757333061E-018 
          62          68  -7.739090402796327E-002 -1.165600207504629E-017 
          62          69  6.090597047034606E-003 3.820811228896203E-020 
          62          70  -3.554495314123786E-003 -1.500912481669131E-018 
          62          71  -3.576665005560334E-003 2.276251796484484E-018 
          62          72  6.016298303490438E-003 -3.740098531692609E-019 
          62          73  4.626542576322335E-003 -5.775008559398340E-019 
          62          74  2.209765857445692E-003 -3.913758775693884E-019 
          62          75  -3.377437804509243E-003 -5.342346632589600E-019 
          62          76  -1.079801615462345E-004 3.611596137311710E-019 
          62          77  -3.251564807359493E-003 -1.680004450911452E-019 
          62          78  2.160413413272985E-003 -9.855571518257820E-019 
          62          79  -1.498530348724537E-003 1.800829804822060E-019 
          62          80  5.182100233618519E-004 -1.673209673978271E-020 
          62          81  -7.838471191216367E-004 -6.130453902399671E-020 
