Nx=24 Ny= 6  N_up=132
          38          73  -8.887275089260357E-005 1.073531533788027E-020 
          38          74  -2.205174906434523E-004 2.385863603865013E-020 
          38          75  -9.493648352487080E-005 -1.944009082919476E-020 
          38          76  -1.258240372073852E-005 1.632507976873178E-021 
          38          77  -3.207082036212933E-006 -4.854208217336575E-021 
          38          78  -2.290816617999871E-005 -3.791305701776563E-020 
          38          79  -7.181952216678766E-005 3.976983417476300E-022 
          38          80  -6.754507518942480E-005 -1.567739722065230E-020 
          38          81  -3.512958076235136E-005 -3.335400832453157E-021 
          38          82  -1.271758662900407E-005 -4.989472417050398E-021 
          38          83  -1.284585407721340E-005 1.618712034126586E-021 
          38          84  -3.923587861352076E-005 9.422232483094026E-021 
          38          85  -5.361530937849585E-006 6.238995440335347E-022 
          38          86  9.361700408534262E-006 -8.951017481530329E-022 
          38          87  2.897695395273139E-006 4.800645862914527E-021 
          38          88  -4.094913102019941E-005 -7.268803334389907E-021 
          38          89  2.756303976443961E-006 3.956902901800371E-022 
          38          90  9.052522730292307E-006 -4.985542453251147E-021 
          38          91  -3.104768104448079E-006 -4.769124542602386E-021 
          38          92  -1.302600946968854E-005 -1.060937290036573E-021 
          38          93  -8.966435427330773E-006 3.976403226091905E-021 
          38          94  -8.295711798369997E-006 -1.116191623833159E-020 
          38          95  -1.328638531536841E-005 2.622423840803263E-020 
          38          96  -6.598389660745994E-007 -3.818742268727989E-021 
          38          97  1.103956506286237E-006 -1.791119121197476E-020 
          38          98  3.234703731403546E-006 -3.397678669138111E-022 
          38          99  -1.854846913739445E-006 1.686812637489007E-022 
          38         100  3.162612039380363E-006 1.324782668483057E-021 
          38         101  8.387896711480691E-007 -8.982907792796920E-022 
          38         102  -8.541632105501720E-006 -1.466504942886101E-020 
          38         103  -1.131508147726378E-006 -6.606541276598680E-022 
          38         104  2.399151191776025E-007 -1.997852716342623E-022 
          38         105  2.055180923844284E-007 1.246020985126220E-021 
          38         106  -1.013783858573770E-006 6.046198422597425E-022 
          38         107  -1.647578654276976E-006 -1.388767941203628E-021 
          38         108  -2.100462913412618E-006 1.813297427950500E-021 
          39          37  2.712729372337314E-003 -1.304427351024688E-018 
          39          38  -8.110417750330758E-002 1.814193830986333E-017 
          39          39  0.470258393637249 -6.338508953492381E-017 
          39          40  -8.128181062402418E-002 4.005678587000213E-018 
          39          41  2.688116447034561E-003 -4.852874775925594E-019 
          39          42  2.275979709498421E-003 -1.600354168988403E-018 
          39          43  6.270930181177131E-003 1.670584269357270E-018 
          39          44  -7.594663096216929E-002 1.992606363783886E-017 
          39          45  -7.505947862625513E-002 -3.383660340281603E-018 
          39          46  6.182960750090752E-003 -2.361141929424571E-018 
          39          47  -3.359712334413369E-003 -1.800572652037960E-018 
          39          48  -3.398931858298210E-003 -2.583003725444634E-018 
          39          49  1.926304843252071E-003 -7.391864707402755E-019 
          39          50  4.972295403797723E-003 -2.466142940591121E-019 
          39          51  1.747430406781537E-003 6.404683343562529E-019 
          39          52  -3.724329169877450E-003 8.096563741551555E-019 
          39          53  -5.838271773073770E-004 3.739796565320958E-019 
          39          54  -3.787702692178587E-003 8.583608828674219E-019 
          39          55  -1.688518047421288E-003 -3.196740242585383E-019 
          39          56  -1.721315503526417E-003 -2.926065198970525E-020 
          39          57  7.586002283200641E-004 -1.007502715742142E-019 
          39          58  -9.164274774287567E-004 -2.335686457308191E-019 
          39          59  -9.617135939430372E-004 -4.124353261404792E-019 
          39          60  7.754088189430146E-004 -1.036556760846479E-019 
          39          61  -5.762115091342749E-004 6.906648927397068E-020 
          39          62  -5.372436784273399E-004 1.000930271154203E-020 
          39          63  -3.031834200953574E-004 1.574807573499664E-020 
          39          64  -1.669430828830952E-004 7.319558507368591E-020 
          39          65  -2.789333895007397E-004 -1.634172573090022E-019 
          39          66  -5.777596353954904E-004 2.346759376305426E-019 
          39          67  -3.680114581141332E-004 -8.695822849894408E-020 
          39          68  -3.299260327865876E-005 5.156602606478603E-020 
          39          69  -6.435994363684634E-005 -7.728040500245240E-020 
          39          70  -8.278657989711050E-005 -2.328448046509266E-020 
          39          71  -2.940243522794634E-005 -6.317098723884421E-020 
          39          72  -3.553423855768311E-004 -9.679114735236312E-020 
          39          73  -1.965640907835616E-005 -4.184748431888281E-020 
          39          74  -1.016163907645357E-004 3.795136867705521E-020 
          39          75  -2.266855583174022E-004 -6.388003620649132E-021 
          39          76  -8.810806839254532E-005 2.917578817758522E-020 
          39          77  -1.969416815401049E-005 6.067006513138684E-021 
          39          78  -9.368736410908879E-006 3.686797057939120E-020 
          39          79  -3.961308425097739E-005 2.533286201877182E-020 
          39          80  -7.241922794959491E-005 -2.969896207669809E-023 
          39          81  -7.386548708887006E-005 8.414500929240579E-022 
          39          82  -3.773664372566004E-005 2.770766529934519E-021 
          39          83  -1.371663421962191E-005 -2.256261496233748E-021 
          39          84  -1.584411870143430E-005 8.857006174827814E-021 
          39          85  1.122782738854896E-005 -2.825243679960027E-022 
          39          86  -6.202216249966802E-006 -9.198180183407978E-021 
          39          87  1.008309263297514E-005 2.622990253942781E-021 
          39          88  2.070191671572866E-006 -3.535427198650700E-021 
          39          89  -3.989937836253829E-005 -1.885101374563903E-021 
          39          90  1.668351745399924E-006 -3.116416869616889E-021 
          39          91  -2.801456681614096E-006 7.543432155874186E-021 
          39          92  -2.222906625898920E-006 -1.111883083810328E-021 
          39          93  -1.342496745375645E-005 7.128208605203456E-021 
          39          94  -9.662211118454023E-006 8.237977371818046E-021 
          39          95  -8.753309579576119E-006 6.335578280751771E-021 
          39          96  -1.378335056874943E-005 1.362280850567706E-019 
          39          97  -8.565501959618568E-006 -1.472706932595366E-021 
          39          98  1.107921400806006E-006 4.182364589654243E-021 
          39          99  3.564121211609043E-006 -2.935398588545096E-020 
          39         100  -1.773558226864943E-006 2.950460692536481E-021 
          39         101  3.045537287638858E-006 -8.720624446284346E-022 
          39         102  1.006672469977628E-006 -6.536172692248115E-021 
          39         103  -2.103025890088971E-006 1.834788953963026E-021 
          39         104  -1.156971399136120E-006 1.311886264103667E-022 
          39         105  7.125045144768006E-008 3.992807246380370E-022 
          39         106  1.030332467628626E-007 6.078762806930138E-022 
          39         107  -1.005640378122357E-006 -2.351503151436985E-022 
          39         108  -2.252433904419485E-006 1.077870645629062E-021 
          40          37  2.292578364102431E-003 -2.500349932483947E-018 
          40          38  2.711726192640388E-003 5.023714840557444E-019 
          40          39  -8.128181062402418E-002 4.005678587000213E-018 
          40          40  0.470245923434077 -5.723166101828720E-018 
          40          41  -8.119084939946022E-002 1.496189367011026E-018 
          40          42  2.669822353050192E-003 -4.340524261355354E-018 
          40          43  -3.453870961594640E-003 -4.102701079614153E-019 
          40          44  6.266546022904847E-003 2.105750375119277E-018 
          40          45  -7.607609569871591E-002 -9.491119239374525E-018 
          40          46  -7.520978448844891E-002 -2.354433657286403E-018 
          40          47  6.166596031105954E-003 -3.615605214002515E-018 
          40          48  -3.408294252391286E-003 -4.232522294763777E-018 
          40          49  -3.846477262094784E-003 -1.588254095867369E-018 
          40          50  1.962061833559832E-003 -5.721099906345637E-019 
          40          51  4.993065413984876E-003 2.744729379612752E-019 
          40          52  1.745273003743149E-003 -9.860504281160080E-020 
          40          53  -3.708310659958103E-003 3.026478093486818E-019 
          40          54  -7.044618164831057E-004 -8.795616827508436E-019 
          40          55  8.044541846361088E-004 -2.148136180381573E-019 
          40          56  -1.761430173679510E-003 -5.809409780856910E-019 
          40          57  -1.737392986152409E-003 3.497324486582505E-019 
          40          58  7.675693401833764E-004 1.497738340377993E-019 
          40          59  -9.204629661920789E-004 7.141082363070656E-020 
          40          60  -9.685680155817126E-004 1.067663641497771E-019 
          40          61  -5.819371022558922E-004 -1.618691774334153E-019 
          40          62  -5.308957429836953E-004 -2.097023046801241E-019 
          40          63  -5.274504974316160E-004 -8.684935798435300E-020 
          40          64  -3.037726319477324E-004 -1.046406822011111E-019 
          40          65  -1.248235857735558E-004 -1.477278627849587E-019 
          40          66  -2.678174236237372E-004 -2.753709242190982E-019 
          40          67  -3.759240891810340E-004 1.938401876889251E-021 
          40          68  -3.843885775194182E-004 -3.121778157750756E-020 
          40          69  -6.103923266835521E-005 -4.177606155292118E-020 
