Nx=          32 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         168 N_down=           0 M1=        3600 
 M2=       14000
    27     5    0.87069813  141.13019953
    27     6    0.86997602  142.00017555
    28     1    0.87643816  142.87661371
    28     2    0.87655751  143.75317122
    28     3    0.87707038  144.63024160
    28     4    0.87715542  145.50739702
    28     5    0.87766043  146.38505746
    28     6    0.87704452  147.26210198
    29     1    0.89263306  148.15473504
    29     2    0.89286182  149.04759686
    29     3    0.89297753  149.94057439
    29     4    0.89320582  150.83378021
    29     5    0.89384910  151.72762930
    29     6    0.89346085  152.62109015
    30     1    0.89331591  153.51440607
    30     2    0.89331899  154.40772506
    30     3    0.89339164  155.30111671
    30     4    0.89367797  156.19479467
    30     5    0.89402417  157.08881884
    30     6    0.89366535  157.98248419
    31     1    0.91383975  158.89632394
    31     2    0.91402520  159.81034913
    31     3    0.91376734  160.72411647
    31     4    0.91412582  161.63824228
    31     5    0.91409070  162.55233299
    31     6    0.91405840  163.46639139
    32     1    0.75565095  164.22204234
    32     2    0.75557150  164.97761384
    32     3    0.75564721  165.73326104
    32     4    0.75551784  166.48877888
    32     5    0.75562984  167.24440872
    32     6    0.75559128  168.00000000
 
