Nx=24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3600 M2= 8000
          37          37  0.631842564137713 8.135139960154385E-017 
          37          38  -0.132054184748947 2.295058119246905E-017 
          37          39  1.105428759945265E-002 -7.591856378110888E-018 
          37          40  -2.196116427656389E-003 3.058108135559863E-018 
          37          41  1.115928040406832E-002 8.138845063997361E-018 
          37          42  -0.132840798761275 2.104230786286950E-017 
          37          43  -0.127465569974933 -3.184008434737729E-017 
          37          44  2.381648887128838E-002 -9.619557993458284E-018 
          37          45  -6.485046623714039E-003 3.180197105428315E-018 
          37          46  -6.481570123314054E-003 -1.162772294554872E-017 
          37          47  2.340542362086243E-002 -2.019471435526030E-018 
          37          48  -0.123307406344055 3.481413102269939E-017 
          37          49  1.135566679013818E-002 4.481155201172086E-018 
          37          50  -8.288095467994456E-003 -4.787019290313649E-018 
          37          51  6.070664084099411E-003 -7.714305906153459E-019 
          37          52  -8.128299255402151E-003 -2.553203094244442E-018 
          37          53  1.047194263673442E-002 -1.403146569046225E-018 
          37          54  2.058785104240078E-002 8.345381988454376E-019 
          37          55  -8.673204712125724E-004 7.251286533154623E-019 
          37          56  -1.433378948705679E-004 -1.722955289745301E-019 
          37          57  -1.662753074749019E-004 -5.638915483792984E-019 
          37          58  -7.165311231165958E-004 1.988596368458865E-019 
          37          59  -4.130589698598905E-003 6.527753822542007E-020 
          37          60  -4.589255801147438E-003 -3.080041143492448E-018 
          37          61  3.268007303205936E-004 -3.441416116180541E-019 
          37          62  -2.501607444702702E-004 1.413401500143629E-020 
          37          63  3.120031380092222E-004 7.454870281223202E-020 
          37          64  4.956009276566657E-004 9.963474425383642E-020 
          37          65  8.962004144909664E-004 3.332094683011012E-019 
          37          66  5.723634001602865E-004 -6.902746081469824E-020 
          37          67  9.517825649224729E-006 -9.880611025613636E-021 
          37          68  1.309124777260779E-005 1.581030518599668E-020 
          37          69  -1.592198052105204E-004 -1.945322902733319E-020 
          37          70  -1.423237054418257E-004 -4.941348308148090E-020 
          37          71  -1.443987409416396E-004 -1.061589256534325E-020 
          37          72  -1.716359745535795E-004 1.721663552511181E-020 
          37          73  -1.010760160104075E-005 4.535102597238710E-021 
          37          74  2.240542171882371E-005 1.450756502620615E-020 
          37          75  4.035697044045708E-005 1.522237487309381E-020 
          37          76  1.965160464486469E-005 3.057099529856291E-020 
          37          77  3.904379408596574E-005 -7.094104937949162E-021 
          37          78  2.445737708550216E-005 1.347378506556853E-020 
          37          79  -2.751769286464429E-006 -5.123304729747051E-021 
          37          80  -8.575579858768279E-006 1.359342877471291E-020 
          37          81  -7.325384007120367E-006 -1.469546328678906E-020 
          37          82  -7.165729432764022E-006 -2.046439447597759E-020 
          37          83  -8.381992857677450E-006 -9.486066851658519E-022 
          37          84  -3.284764047659607E-006 -5.814888359618095E-021 
          37          85  1.532102349932723E-006 1.025580235675798E-021 
          37          86  1.842347539048202E-006 1.564028558882786E-021 
          37          87  2.381500047091121E-006 -9.221560602416375E-021 
          37          88  1.760903940172103E-006 8.854024165830811E-021 
          37          89  1.424377333569370E-006 1.954851905587705E-021 
          37          90  1.395142596733564E-006 -2.255555839959663E-021 
          37          91  -2.312899775535611E-007 2.248319104296248E-021 
          37          92  -5.965060728134570E-007 -5.789778372943579E-021 
          37          93  -6.128520839946525E-007 9.924704230879311E-021 
          37          94  -2.789653010357140E-007 -5.311432016952945E-021 
          37          95  -5.118700578119512E-007 4.439037331293687E-021 
          37          96  -5.724876672484416E-007 4.045465503953120E-020 
          37          97  1.812865902158814E-007 2.236400212138255E-020 
          37          98  2.472847364396525E-007 -7.914718112941380E-021 
          37          99  1.424456608553343E-007 8.739685780971536E-021 
          37         100  1.138598740793947E-007 -4.976003730509250E-021 
          37         101  1.694082859114038E-007 -1.803738075820249E-020 
          37         102  8.225910956451041E-008 8.115168256115621E-021 
          37         103  -1.632081522787360E-007 -1.921785287571597E-022 
          37         104  -1.829809318520845E-007 3.732268937599020E-022 
          37         105  -1.941574177588294E-007 -1.531524131226029E-020 
          37         106  -2.103246279870195E-007 -4.549508373226346E-021 
          37         107  -2.304260278719828E-007 -2.267347980842544E-021 
          37         108  -2.439245324380542E-007 -2.843760829237630E-020 
          38          37  -0.132054184748947 2.295058119246905E-017 
          38          38  0.631793730367278 1.757003842877781E-016 
          38          39  -0.131586674118383 4.009861922293400E-017 
          38          40  1.105406193273924E-002 3.554116073851257E-018 
          38          41  -2.142454251646178E-003 -2.216407873657769E-018 
          38          42  1.113580138617993E-002 5.537884343064016E-019 
          38          43  -0.126559316574644 1.123052088236310E-017 
          38          44  -0.126266411322586 -1.987455455551017E-017 
          38          45  2.346525047243226E-002 -1.753744902220199E-018 
          38          46  -6.417025890766707E-003 1.303667444822415E-017 
          38          47  -6.577146687824460E-003 -5.628257908762861E-018 
          38          48  2.345776981843157E-002 -3.980257849883190E-018 
          38          49  2.120927786712147E-002 -8.390835999240840E-019 
          38          50  1.080767287690844E-002 -9.783631784417299E-019 
          38          51  -8.024622100669825E-003 1.703260588249415E-018 
          38          52  6.001765280789328E-003 -2.657169645600046E-019 
          38          53  -7.801458352655215E-003 2.717493119821536E-018 
          38          54  1.048935849976887E-002 8.439517316202348E-019 
          38          55  -4.406194797007558E-003 -1.685605157510270E-018 
          38          56  -6.798730101603009E-004 1.649056358155933E-019 
          38          57  -1.415939059641419E-004 -3.362188123268581E-019 
          38          58  -1.364739590557752E-004 -2.656642436936623E-019 
          38          59  -4.262251374388870E-004 -1.487338591021378E-019 
          38          60  -4.114077980164751E-003 1.685439828448115E-019 
          38          61  5.250500931496565E-004 1.368674533573951E-019 
          38          62  2.793379632292682E-004 -6.910009072770971E-020 
          38          63  -2.260222205883718E-004 -6.042756161634655E-020 
          38          64  2.479715459268403E-004 -6.933677293204753E-021 
          38          65  4.033435541690595E-004 4.042804410993905E-020 
          38          66  9.020224695133112E-004 1.751785820781529E-019 
          38          67  -1.573565807796937E-004 1.080273153655437E-020 
          38          68  1.959518286627426E-005 5.341567548624660E-020 
