Nx=          36 Ny=           6 Jd= up=         198 N_down= 0        3600       10000 bond           1
   33   39    0    1      0.025982048046      0.003449870457      0.003483983816
   33   45    0    2      0.002827218613      0.001564039100      0.001690526981
   33   51    0    3      0.001627503068      0.001335868374      0.001304370066
   33   57    0    4      0.001260567513      0.001208659090      0.001199471296
   33   63    0    5      0.001026312311      0.001031843864      0.001035717365
   33   69    0    6      0.000894261123      0.000813066670      0.000815061498
   33   75    0    7      0.000783153213      0.000675562420      0.000676509684
   33   81    0    8      0.000659464095      0.000626621041      0.000627435405
   33   87    0    9      0.000554064258      0.000570585372      0.000571508441
   33   93    0   10      0.000490130791      0.000469438670      0.000470165164
   33   99    0   11      0.000441628513      0.000386961515      0.000387379829
   33  105    0   12      0.000380750496      0.000354065927      0.000354519603
   33  111    0   13      0.000319856048      0.000328399171      0.000328979049
   33  117    0   14      0.000280240831      0.000275615746      0.000276040435
   33  123    0   15      0.000253724361      0.000224522071      0.000224714741
   33  129    0   16      0.000221379164      0.000201324610      0.000201646406
   33  135    0   17      0.000185676061      0.000188590551      0.000188964706
   33  141    0   18      0.000160842101      0.000161206783      0.000161368734
   33  147    0   19      0.000145729463      0.000130277021      0.000130419107
   33  153    0   20      0.000128522989      0.000114921989      0.000115086802
   33  159    0   21      0.000107472214      0.000108088371      0.000108279380
   33  165    0   22      0.000091376217      0.000092890109      0.000093038331
   33  171    0   23      0.000082174965      0.000073126829      0.000073213071
   33  177    0   24      0.000072688889      0.000063264345      0.000063345475
