 Nx=,Ny=          36           6           0
    67    74     1     1      1.035546396795     -3.087191590000      0.103561256795    -10.000000000000    -10.000000000000    -10.000000000000
    67    75     2     1     -0.979732343205     -3.122898393590     -2.134400760385      1.035546396795    -10.000000000000    -10.000000000000
    67    76     3     1      2.398213226795     -3.137866920000      1.037973086795     -0.979732343205    -10.000000000000    -10.000000000000
    67    77     4     1      0.060434666795      3.112390283590     -2.140810670385      2.398213226795    -10.000000000000    -10.000000000000
    67    78     5     1    -10.000000000000      3.124986520000     -0.004020773205      0.060434666795    -10.000000000000    -10.000000000000
    67    79     0     2      0.993707256795     -0.011823600000     -1.152588326795     -0.047717063205    -10.000000000000      0.103561256795
    67    80     1     2     -0.943520173205      0.020682223590      0.951260383205      0.993707256795     -3.087191590000     -2.134400760385
    67    81     2     2      2.191059336795      0.027233870000     -2.044681876795     -0.943520173205     -3.122898393590      1.037973086795
    67    82     3     2     -0.902519643205      0.019889453590      1.098549403205      2.191059336795     -3.137866920000     -2.140810670385
    67    83     4     2      2.457638756795     -0.001821580000     -2.218394156795     -0.902519643205      3.112390283590     -0.004020773205
    67    84     5     2     -0.047717063205     -0.034376983590      1.953058870385      2.457638756795      3.124986520000    -10.000000000000
    67    85     0     3     -1.035992763205     -3.122375203590     -2.078937850385      2.229710226795     -0.011823600000      0.951260383205
    67    86     1     3      2.168600186795     -3.119506970000      1.100975776795     -1.035992763205      0.020682223590     -2.044681876795
    67    87     2     3     -0.960124823205     -3.118024173590     -2.039966270385      2.168600186795      0.027233870000      1.098549403205
    67    88     3     3      2.233089896795     -3.119762390000      1.102706616795     -0.960124823205      0.019889453590     -2.218394156795
    67    89     4     3     -0.952867153205     -3.127984613590     -2.080748930385      2.233089896795     -0.001821580000      1.953058870385
    67    90     5     3      2.229710226795     -3.128674350000      0.998513346795     -0.952867153205     -0.034376983590     -1.152588326795
    67    91     0     4      2.128617366795     -0.022657770000     -1.990816916795     -1.005879653205     -3.122375203590      1.100975776795
    67    92     1     4     -1.008476403205     -0.021567593590      1.167620543205      2.128617366795     -3.119506970000     -2.039966270385
    67    93     2     4      2.128934916795     -0.020968100000     -1.974663866795     -1.008476403205     -3.118024173590      1.102706616795
    67    94     3     4     -1.000709953205     -0.018465093590      1.153054713205      2.128934916795     -3.119762390000     -2.080748930385
    67    95     4     4      2.120257916795     -0.018285020000     -2.046162826795     -1.000709953205     -3.127984613590      0.998513346795
    67    96     5     4     -1.005879653205     -0.021539883590      1.089100733205      2.120257916795     -3.128674350000     -2.078937850385
    67    97     0     5     -1.013842393205      3.087439813590     -1.950605110385      2.133125656795     -0.022657770000      1.167620543205
    67    98     1     5      2.125058766795      3.089666240000      1.197906876795     -1.013842393205     -0.021567593590     -1.974663866795
    67    99     2     5     -1.022689703205      3.094977193590     -1.947968320385      2.125058766795     -0.020968100000      1.153054713205
    67   100     3     5      2.122599136795      3.098850270000      1.181141226795     -1.022689703205     -0.018465093590     -2.046162826795
    67   101     4     5     -1.005390303205      3.094982853590     -1.976309840385      2.122599136795     -0.018285020000      1.089100733205
    67   102     5     5      2.133125656795      3.087452320000      1.173254486795     -1.005390303205     -0.021539883590     -1.990816916795
    67   103     0     6      2.131847856795     -0.016544920000     -2.000968666795     -1.010839453205      3.087439813590      1.197906876795
    67   104     1     6     -1.009525543205     -0.013909023590      1.142324483205      2.131847856795      3.089666240000     -1.947968320385
    67   105     2     6      2.130146636795     -0.011052930000     -1.999364316795     -1.009525543205      3.094977193590      1.181141226795
    67   106     3     6     -1.008392123205     -0.011470773590      1.142137963205      2.130146636795      3.098850270000     -1.976309840385
    67   107     4     6      2.135059836795     -0.015760670000     -2.002628056795     -1.008392123205      3.094982853590      1.173254486795
    67   108     5     6     -1.010839453205     -0.017542263590      1.136868713205      2.135059836795      3.087452320000     -1.950605110385
    67   109     0     7     -1.008683053205     -3.126649343590     -2.043942170385      2.129946646795     -0.016544920000      1.142324483205
    67   110     1     7      2.134186446795     -3.125413650000      1.099640836795     -1.008683053205     -0.013909023590     -1.999364316795
    67   111     2     7     -1.008025413205     -3.124690413590     -2.037808960385      2.134186446795     -0.011052930000      1.142137963205
    67   112     3     7      2.132465766795     -3.125347150000      1.105354846795     -1.008025413205     -0.011470773590     -2.002628056795
    67   113     4     7     -1.009642883205     -3.126866133590     -2.039868340385      2.132465766795     -0.015760670000      1.136868713205
    67   114     5     7      2.129946646795     -3.127670240000      1.097735696795     -1.009642883205     -0.017542263590     -2.000968666795
    67   115     0     8      2.129594116795     -0.011018620000     -2.019774646795     -1.013390563205     -3.126649343590      1.099640836795
    67   116     1     8     -1.011648093205     -0.010157133590      1.124850203205      2.129594116795     -3.125413650000     -2.037808960385
    67   117     2     8      2.128613946795     -0.009544510000     -2.014019586795     -1.011648093205     -3.124690413590      1.105354846795
    67   118     3     8     -1.013744843205     -0.009195603590      1.127259203205      2.128613946795     -3.125347150000     -2.039868340385
    67   119     4     8      2.130105006795     -0.009633160000     -2.017375526795     -1.013744843205     -3.126866133590      1.097735696795
    67   120     5     8     -1.013390563205     -0.012169183590      1.122434583205      2.130105006795     -3.127670240000     -2.043942170385
    67   121     0     9     -1.014294343205      3.090689863590     -1.979942200385      2.126452106795     -0.011018620000      1.124850203205
    67   122     1     9      2.127219546795      3.091312470000      1.163902216795     -1.014294343205     -0.010157133590     -2.014019586795
    67   123     2     9     -1.015197463205      3.092037743590     -1.976512090385      2.127219546795     -0.009544510000      1.127259203205
    67   124     3     9      2.126193106795      3.092299620000      1.164745406795     -1.015197463205     -0.009195603590     -2.017375526795
