Nx=24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3600 M2= 8000
          37          37  0.662708769073343 -1.480680084700969E-017 
          37          38  -0.140447433176020 -8.333369270665784E-018 
          37          39  1.224159124474955E-002 2.623773825464595E-018 
          37          40  -3.091667790028296E-003 8.486314264634925E-018 
          37          41  1.234851470434915E-002 -8.048523238547123E-018 
          37          42  -0.141266176199753 5.017152057233839E-018 
          37          43  -0.135904262244712 6.105112271796331E-019 
          37          44  2.712699138871526E-002 1.790872294675632E-017 
          37          45  -6.806062186515404E-003 -5.346778354551503E-018 
          37          46  -6.799654554053097E-003 -9.705551645788646E-018 
          37          47  2.664594955259313E-002 1.074990696414423E-017 
          37          48  -0.131579867534310 4.437225144086521E-017 
          37          49  1.195997808108486E-002 7.121887722748178E-018 
          37          50  -8.120190572827379E-003 -9.435976396598141E-019 
          37          51  6.249099525736201E-003 1.001722710943598E-017 
          37          52  -7.930970625735898E-003 4.095329531723871E-019 
          37          53  1.104948820297098E-002 -7.077502798443659E-018 
          37          54  2.390434170308337E-002 2.301449525340706E-018 
          37          55  -9.424789625055852E-004 -2.768420122762503E-018 
          37          56  7.848307649424165E-006 -6.821744736851528E-020 
          37          57  -1.503257664119708E-005 1.433011790965939E-020 
          37          58  -7.776110251170045E-004 7.013971764708665E-019 
          37          59  -4.670939261701130E-003 1.900605465558251E-018 
          37          60  -5.064092291596298E-003 -2.428503654491678E-018 
          37          61  3.192688333793341E-004 2.762302204583213E-019 
          37          62  -2.984473564409848E-004 3.814112382335729E-019 
          37          63  3.007307099118633E-004 -1.058624243132538E-020 
          37          64  6.530356114360318E-004 -1.906650044803178E-019 
          37          65  1.084830862005258E-003 -7.280557043850956E-020 
          37          66  7.281200925172225E-004 5.248389108903215E-020 
          37          67  1.418218894529792E-005 -1.127515114273094E-019 
          37          68  1.697469022586189E-005 8.786150185780904E-020 
          37          69  -1.934450476893021E-004 8.791407344164307E-020 
          37          70  -1.944043012320556E-004 -5.786095023902904E-021 
          37          71  -1.947321759313333E-004 6.449309189838747E-020 
          37          72  -2.070636515344456E-004 -1.285509252751234E-019 
          37          73  -9.060901438694151E-006 1.002903871292648E-020 
          37          74  2.671301189914149E-005 -3.057360721785261E-021 
          37          75  5.759246093876187E-005 9.528211919367217E-021 
          37          76  3.409027230700162E-005 -1.411562407130887E-020 
          37          77  5.582543714022028E-005 3.121775407907619E-020 
          37          78  2.909593278747100E-005 -3.452156063152713E-020 
          37          79  -2.985792642642387E-006 -1.353271203688756E-021 
          37          80  -1.134034190115667E-005 -2.546364370216620E-021 
          37          81  -1.143381142904494E-005 4.340529068320674E-021 
          37          82  -1.123822556929107E-005 2.014144788565351E-020 
          37          83  -1.109532802727454E-005 -2.937272808048447E-021 
          37          84  -3.676820854875557E-006 1.165231126639457E-020 
          37          85  1.930074819149970E-006 -9.529214449274754E-021 
          37          86  2.719937332920154E-006 -1.174065248626133E-020 
          37          87  3.455895330422961E-006 6.885683251187172E-021 
          37          88  2.592871855125893E-006 -1.147284452265993E-020 
          37          89  1.809480963875847E-006 -7.546865215154184E-021 
          37          90  1.468318272820740E-006 -1.601871415283126E-020 
          37          91  -4.560159699109428E-007 5.399339373048154E-021 
          37          92  -9.596423662075826E-007 2.817179359512525E-020 
          37          93  -9.166135088374898E-007 2.383024053294938E-020 
          37          94  -5.419727501710025E-007 1.077000945981265E-020 
          37          95  -6.902652049134426E-007 1.207875211740741E-020 
          37          96  -7.503481569938044E-007 1.971223103973826E-020 
          37          97  3.955023955930635E-007 -1.470700707610662E-020 
          37          98  4.613076497345422E-007 -1.268811724341578E-020 
          37          99  2.964499694734156E-007 -2.623252877344487E-020 
          37         100  2.872298099569784E-007 -1.566313017022689E-020 
          37         101  2.910502930033960E-007 -1.666297956345893E-020 
          37         102  2.122385735314129E-007 -6.686272182823776E-021 
          37         103  -3.611690741407576E-007 9.481782116325590E-021 
          37         104  -3.766997701041645E-007 3.892686114772122E-020 
          37         105  -4.187263355446986E-007 -2.850223658668065E-021 
          37         106  -4.205601366940345E-007 1.547043378182334E-020 
          37         107  -4.245928828274562E-007 3.095659280204996E-020 
          37         108  -5.033687494033238E-007 3.523449841196128E-020 
          38          37  -0.140447433176020 -8.333369270665784E-018 
          38          38  0.662669378763985 -3.059772121426778E-016 
          38          39  -0.139973376832230 1.922593260130098E-017 
          38          40  1.228490420693697E-002 1.352606664806171E-017 
          38          41  -3.011028915204126E-003 -1.546165455239219E-019 
          38          42  1.231025297798809E-002 -9.824728082251519E-018 
          38          43  -0.134971630713619 -1.729269324737204E-017 
          38          44  -0.134693534701791 2.260560228918355E-018 
          38          45  2.672028697356119E-002 9.085597537145501E-018 
          38          46  -6.758554036776607E-003 -1.476116664998022E-017 
          38          47  -6.925947137481623E-003 -3.040866073651217E-018 
          38          48  2.679658646210785E-002 -2.652724889872734E-018 
