Nx=24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3600 M2= ****
          55          80  -1.161430705618606E-004 1.645121467690637E-020 
          55          81  -4.063794642991507E-005 -4.621133923270309E-020 
          55          82  -3.490550884444069E-006 5.559871397684913E-020 
          55          83  -1.998990145547574E-004 -3.840878191735711E-020 
          55          84  5.036315250091366E-005 6.758994995779524E-020 
          55          85  2.673634795811705E-005 -6.481541410637601E-020 
          55          86  6.637013414660256E-005 -1.816477952748830E-019 
          55          87  -2.029639183868275E-004 -4.580100480978666E-020 
          55          88  -5.740652315437982E-005 -1.025551023423280E-020 
          55          89  -5.534200331848123E-005 -6.605477127119991E-020 
          55          90  5.173424765457807E-005 -4.353395499426074E-020 
          55          91  -6.093918251220157E-005 7.682184686062652E-021 
          55          92  -3.032732893961479E-005 2.365573896865090E-021 
          55          93  1.841244218774963E-006 1.933923108773800E-021 
          55          94  -1.049000589872441E-005 4.444246015856206E-020 
          55          95  -3.168615592856757E-006 -9.225847799617503E-020 
          55          96  -1.518768841531451E-005 5.895584647278195E-020 
          55          97  1.483179910288518E-008 1.772465942042337E-019 
          55          98  1.305483188480300E-005 3.074565656016284E-020 
          55          99  -7.661317008559611E-006 1.430763620483546E-020 
          55         100  -2.375679402873605E-005 -1.719215960643335E-019 
          55         101  -3.646761386925652E-005 -3.728103834508548E-020 
          55         102  -2.056636836156061E-006 -2.603209471166994E-020 
          55         103  3.360333718300266E-006 -1.514229750819711E-020 
          55         104  -1.293340735638272E-005 1.961825184652258E-020 
          55         105  -3.947635272665268E-005 -3.211510932591538E-020 
          55         106  -4.258564661306097E-005 3.049594000043885E-021 
          55         107  -1.563091004822845E-005 -1.666701217077236E-020 
          55         108  -1.276693479647415E-005 3.894925152163153E-021 
          56          37  -3.875781369413750E-004 3.578236919188593E-019 
          56          38  4.193558942867754E-004 5.944861067313125E-019 
          56          39  -8.643445066404189E-004 1.124015754305164E-019 
          56          40  -3.954510742854776E-003 1.082211237671519E-018 
          56          41  5.248971764884821E-004 -1.433601398001154E-019 
          56          42  -1.743731836949982E-003 -3.520169558317430E-019 
          56          43  -4.696752518114676E-003 -2.314484309828113E-019 
          56          44  -3.377911488419494E-004 1.785336340855542E-020 
          56          45  1.415385097246160E-003 3.177408494190639E-019 
          56          46  3.977314603730366E-005 -3.897616068138512E-019 
          56          47  -2.323616458952279E-004 4.088051927297476E-019 
          56          48  -2.115884974475815E-003 -4.921717361066318E-020 
          56          49  3.419052879280882E-003 6.023327250035148E-020 
          56          50  -7.798939796319021E-002 -4.041147045675480E-018 
          56          51  -5.797253224538929E-002 -5.046016575399663E-019 
          56          52  1.676284696683170E-003 -1.985407422636332E-018 
          56          53  -8.764335171039830E-004 -9.307484887323958E-019 
          56          54  -3.819514951135603E-003 7.049496260937931E-019 
          56          55  -8.128313093432424E-002 -1.693352013138842E-017 
          56          56  0.421178730774929 5.266434213179990E-017 
          56          57  -5.137977296748338E-002 -6.649815382793319E-018 
          56          58  4.258251999775037E-004 -8.228753617251351E-020 
          56          59  7.953742768661627E-004 -2.215533188725014E-018 
          56          60  4.922702048107131E-004 1.778326107669115E-018 
          56          61  -6.599846501495160E-002 -2.317897891370660E-018 
          56          62  -5.572220879779032E-002 -9.415926866522931E-019 
          56          63  1.815262712472215E-003 -1.562522880715670E-018 
          56          64  -5.412663063660198E-004 -1.489165093298115E-018 
          56          65  -1.179043981087787E-003 5.977758509787365E-019 
          56          66  1.545302124105875E-003 5.575101199273906E-019 
          56          67  2.023987979857784E-003 -6.589216317562700E-019 
          56          68  5.951230686466267E-004 -1.447049835112273E-019 
          56          69  1.614371625538671E-004 2.168606693827411E-019 
          56          70  -8.960996594088432E-004 -4.952621206051250E-019 
          56          71  -1.993097054397410E-003 3.355463885804698E-019 
          56          72  4.869300394361314E-004 2.078730886202928E-019 
          56          73  -1.046138070136567E-003 -3.365229252394979E-019 
          56          74  1.841550718706527E-004 -2.773929102942121E-019 
          56          75  -2.951105462842117E-004 -3.982857384162114E-019 
          56          76  -2.549059956027830E-004 -4.411280712089726E-019 
          56          77  -4.979370240910655E-005 -3.910647731299552E-019 
          56          78  7.432786975286652E-005 -2.664573499878977E-019 
          56          79  -5.099937118473362E-005 -1.394079293180695E-019 
          56          80  -1.630620888481208E-004 -3.769488582895047E-020 
          56          81  -1.819639741152348E-004 -1.030029704347584E-020 
          56          82  -4.957986434708277E-005 6.635969310458624E-020 
          56          83  2.967523748366641E-005 -1.596174551991849E-020 
          56          84  -3.770851524464725E-004 -5.104417320190327E-020 
          56          85  -3.811843430535363E-004 -1.334762224276162E-019 
          56          86  2.050687072062367E-005 -7.627967712238375E-020 
          56          87  -3.650875386673452E-005 -1.142055341718407E-019 
          56          88  7.601847346656882E-005 -3.176918540903496E-020 
          56          89  -9.059045101278969E-005 -1.029046806761837E-019 
          56          90  -8.902045441742778E-005 -1.146512864334079E-019 
          56          91  -4.210108478429267E-005 9.879842538024265E-021 
          56          92  -1.063082181356001E-004 -1.100869880939747E-020 
          56          93  -3.278552500002894E-005 -4.279619273274161E-021 
          56          94  -4.985335056056179E-005 -2.610539103914732E-020 
          56          95  -3.900752349528294E-005 -2.309699556521170E-019 
          56          96  -2.327101523036659E-005 9.611385017424355E-020 
          56          97  -1.609445520729831E-006 -2.699504438375477E-020 
          56          98  -3.461372555158407E-006 4.293428545501178E-021 
          56          99  -6.404491076384142E-005 1.943912730061038E-019 
          56         100  -4.799892856295834E-006 2.095311789476644E-021 
          56         101  -4.664084920843281E-006 1.618180189378385E-019 
          56         102  2.239804563916735E-005 -2.321609158742003E-020 
          56         103  -2.477527650210612E-005 -5.979866607112176E-021 
          56         104  -3.423772992235870E-005 -1.103289660060412E-021 
          56         105  -4.075300302511511E-005 -1.188388594937675E-020 
          56         106  -4.421642075277364E-005 -2.103047063371602E-020 
          56         107  -9.296675590009136E-006 -6.206477700618073E-021 
          56         108  -1.883531374545076E-005 -7.555957771869977E-021 
          57          37  -9.737487953573103E-004 4.055641697147475E-019 
          57          38  -1.388619308507091E-003 -2.927400836803945E-019 
          57          39  6.110174316429923E-004 1.185979104983669E-019 
          57          40  -4.792777760619934E-003 -1.362728224707611E-018 
          57          41  -2.065865691886757E-003 -4.418023829867947E-020 
          57          42  1.726056333394789E-004 -7.656300594382862E-019 
          57          43  -2.316370421708861E-003 2.063405555216493E-019 
          57          44  -9.188595288893804E-004 -1.070522393272145E-018 
          57          45  2.239439601018040E-004 2.141748691839639E-019 
          57          46  2.284976668973301E-003 -2.578144361933601E-019 
          57          47  4.736232800683982E-004 -2.379436092594438E-019 
          57          48  -4.695206686062749E-003 2.402788887168805E-020 
          57          49  -2.087309887695538E-003 -1.186671869311195E-018 
          57          50  2.304377815214862E-003 7.858488673542668E-019 
          57          51  -6.892964951494986E-002 -1.518899253313489E-019 
          57          52  -7.993398674594650E-002 1.176648204380591E-017 
          57          53  2.922631721679279E-003 -1.650586009430716E-018 
          57          54  -4.317039652780487E-003 5.717795055719059E-020 
          57          55  9.139079762176707E-004 -9.675005870037333E-019 
          57          56  -5.137977296748338E-002 -6.649815382793319E-018 
          57          57  0.421284652816233 -5.106173335744657E-017 
          57          58  -8.134773515900021E-002 -2.573409153890594E-018 
          57          59  7.569982632372257E-004 -1.467571829530382E-019 
          57          60  7.627092139219949E-004 8.297170919879891E-019 
          57          61  1.786884820372397E-003 1.064622052655094E-018 
          57          62  -4.946731016080145E-002 5.058286289805888E-018 
          57          63  -5.809762612797238E-002 7.141110761850666E-019 
          57          64  2.266254264399935E-003 -8.562170281386336E-019 
          57          65  -6.956634006878017E-004 -1.240112134798480E-018 
          57          66  2.198467027375171E-004 1.514478716065105E-018 
          57          67  6.793691988011362E-004 -1.767836527886902E-018 
          57          68  1.371354912383402E-003 1.005599138397878E-019 
          57          69  6.477257959833078E-004 -9.490316080521367E-020 
          57          70  -2.190198237325432E-003 -4.871511658803433E-019 
          57          71  -7.998007315680085E-004 2.489776490695253E-019 
          57          72  -2.676469341490005E-004 -1.645547625157123E-019 
          57          73  -1.958604371616386E-004 -1.647082355486444E-019 
          57          74  6.449752925364445E-005 1.318043524041278E-020 
          57          75  3.886417147841944E-004 -1.510439247436994E-019 
          57          76  -1.260392615115956E-004 -1.853313896853309E-019 
          57          77  -1.326270726214477E-004 -2.150007234265949E-019 
          57          78  3.461676079538038E-004 1.276057137915469E-019 
          57          79  -2.797239806811430E-004 -5.165702241127460E-020 
          57          80  -1.128463510695567E-004 5.133340583038913E-020 
          57          81  -1.434227158788282E-004 -3.403035136568328E-020 
          57          82  -8.338336128757004E-005 1.525296071896668E-020 
          57          83  6.272496540214351E-005 -1.503379037181075E-020 
          57          84  -9.214121093472925E-005 2.553047871131249E-020 
          57          85  -8.804380742416271E-005 -3.559177863150786E-020 
          57          86  -1.786788722551523E-004 3.899791621602453E-021 
          57          87  7.537513072832160E-005 -3.291726601539184E-020 
          57          88  6.325388601782768E-006 -3.666003150452744E-021 
          57          89  -1.062143798534060E-004 -5.426104449580179E-020 
          57          90  -1.113962668251218E-004 -1.095388750433502E-020 
          57          91  1.949540899607882E-005 -6.490292055310621E-021 
          57          92  -4.277382454067844E-005 6.855581812353167E-022 
          57          93  -7.886029577892804E-005 1.428969263860011E-020 
          57          94  -9.042693097834304E-006 -1.914642934596719E-020 
          57          95  -2.291735731267398E-005 -3.614908875523062E-020 
          57          96  -1.736704750040279E-006 -4.434191362178268E-020 
          57          97  -2.729748429278301E-005 8.609092775591812E-020 
          57          98  -1.696911776667214E-005 2.638390348567434E-020 
          57          99  -3.099209356116945E-005 -3.411286612468681E-020 
          57         100  -5.597642422791582E-005 -1.835900307957103E-020 
          57         101  -1.904941821082626E-006 1.235138069284315E-020 
          57         102  -8.072679113009535E-005 2.933038747396701E-020 
          57         103  -1.751407160047770E-005 1.032843991868020E-020 
          57         104  -1.286055194322473E-005 9.220411241964034E-021 
          57         105  -5.475539103754483E-006 1.413830753300605E-020 
          57         106  -2.460247462895077E-005 -1.060400715469822E-020 
          57         107  -5.060507341161965E-005 -8.944635621606740E-021 
          57         108  -4.352172102458013E-005 1.990922972693798E-020 
          58          37  6.684744077144397E-004 4.194596650632536E-019 
          58          38  -1.664987758737713E-003 6.687144698320841E-019 
          58          39  -2.188112261023540E-004 9.815148720806266E-020 
          58          40  3.360722284545176E-004 2.203522906724184E-019 
          58          41  -1.005417044662635E-003 5.467083906794225E-020 
          58          42  -4.597775024232842E-003 -1.197272994917150E-019 
          58          43  -9.274669905029577E-004 -3.183120377903620E-019 
          58          44  -2.529964590950078E-003 -6.057780162000087E-019 
          58          45  -4.563616451842847E-003 2.550426699256764E-019 
          58          46  -5.308508764100977E-004 -2.352968336504355E-019 
          58          47  1.937722173227333E-003 6.219387315296199E-019 
          58          48  1.176326682535945E-004 -8.396246297203075E-019 
          58          49  -1.195680335085341E-003 -1.443721069264941E-018 
          58          50  -4.547627669322630E-003 -6.731112441776179E-019 
          58          51  3.720333812522625E-003 1.442565443962158E-018 
          58          52  -8.002000558383868E-002 7.459651393726372E-018 
          58          53  -6.261267022609855E-002 9.395130513525535E-018 
          58          54  2.327934989458581E-003 -6.532953414148782E-019 
          58          55  8.830723565095503E-004 -1.292468050041873E-018 
          58          56  4.258251999775037E-004 -8.228753617251351E-020 
          58          57  -8.134773515900021E-002 -2.573409153890594E-018 
          58          58  0.421195493958212 4.741006112015275E-017 
          58          59  -5.248730645589648E-002 -6.637931465781631E-018 
          58          60  3.218876124295184E-004 -8.265208784601816E-019 
          58          61  -8.217668249089383E-004 7.175433780184712E-019 
          58          62  1.928734434728487E-003 2.000734801598842E-019 
          58          63  -6.043143827163278E-002 1.657500221571622E-017 
          58          64  -5.019606674195216E-002 -1.115859892415549E-017 
          58          65  2.020309316173521E-003 3.515035057353012E-019 
          58          66  -2.453943735086580E-004 4.518060797676830E-019 
          58          67  -2.735933095287645E-003 7.649665023857434E-019 
          58          68  6.492059819168585E-004 6.012908051618485E-019 
          58          69  1.650414716108496E-003 -4.810384148723543E-019 
          58          70  3.789632117662535E-004 1.598700196737632E-019 
          58          71  -2.766285105891000E-004 2.552858500810505E-019 
          58          72  -1.274089561538565E-003 -7.181981018452445E-019 
          58          73  1.688102831940900E-004 -5.196323564603694E-019 
          58          74  8.517325557061183E-005 -1.672935551501882E-019 
          58          75  -6.756924532336562E-004 -1.915612275028885E-019 
          58          76  2.780754892654220E-004 1.432620598242472E-019 
          58          77  -2.566970673638648E-004 -1.161375225765175E-019 
          58          78  -3.680664658992403E-004 -4.430865655942446E-019 
          58          79  -1.283807248117910E-004 1.075563986170089E-019 
          58          80  -5.475728983250353E-004 -9.164319171180416E-020 
          58          81  -1.929951476470379E-004 -1.363294946113359E-019 
          58          82  -1.117856659198824E-004 6.932216145459788E-020 
          58          83  -1.456706136442142E-004 -4.982647053108508E-020 
          58          84  -2.264585688948158E-004 -9.958010989732640E-020 
          58          85  -2.107983834650956E-004 -1.065949214219046E-019 
          58          86  -1.951123245749845E-004 -1.283597343995747E-019 
          58          87  -4.244430659241772E-004 -8.912875235731736E-020 
          58          88  6.929097463483022E-007 -5.202246902638927E-020 
          58          89  2.499571525091369E-005 -8.118471162721626E-020 
          58          90  -1.103156103092364E-004 2.131078815111499E-021 
          58          91  -3.067215939273353E-005 -1.097796352909546E-020 
          58          92  -5.876505994260298E-005 4.119673424519092E-021 
          58          93  -2.210597937231248E-005 -5.678191899996101E-021 
          58          94  -1.609684012847401E-004 1.799455697154105E-020 
          58          95  -6.643771303313304E-005 2.719913906626132E-019 
          58          96  -3.168018688646252E-005 -6.050926383864973E-020 
          58          97  6.633057650775038E-006 1.649598108201962E-019 
          58          98  -2.999781310601634E-005 -1.959241725596049E-019 
          58          99  -5.291173921746675E-005 2.083878329293511E-019 
          58         100  -2.866045544259404E-005 -1.497494664247563E-019 
          58         101  -8.604115577266678E-005 8.884716558707183E-020 
          58         102  -3.753045913957305E-005 6.261188018567089E-020 
          58         103  -1.916632502688790E-005 3.576487910219370E-021 
          58         104  -1.861010936552428E-005 8.264978927797034E-021 
          58         105  -2.219210077228551E-005 -9.769117704151848E-021 
          58         106  -3.817611764373877E-005 1.468547465754367E-021 
          58         107  -4.736386525232644E-005 2.257506831606093E-020 
          58         108  -6.131382749816309E-005 -3.960932499546812E-020 
          59          37  -2.603863177236885E-003 5.518209367082459E-019 
          59          38  4.477117482827946E-004 1.406895210617599E-019 
          59          39  -1.084415430400599E-003 7.449854796067860E-020 
          59          40  -1.171431765029858E-003 1.055170894597868E-019 
          59          41  2.504878090414658E-004 -2.490642914263140E-019 
          59          42  -4.227410187022698E-003 4.539064113254886E-019 
          59          43  -1.158925952528993E-004 1.103511984166294E-019 
          59          44  -4.361594692526910E-003 -4.366176372774640E-019 
          59          45  -2.549290908057620E-003 1.004045730448706E-018 
          59          46  -3.713949453338209E-004 1.216120641767271E-019 
          59          47  3.994383453130968E-004 -3.473890471947494E-019 
          59          48  1.951254135326391E-003 2.993421669850042E-019 
          59          49  3.153207713693406E-003 -6.268063319373486E-019 
          59          50  -4.603925509972739E-003 8.625058136923665E-019 
          59          51  -2.948234323970554E-003 8.809740270790384E-019 
          59          52  1.970302642523301E-003 -1.998123300594621E-019 
          59          53  -6.410278785952039E-002 -2.167585039121734E-018 
          59          54  -8.339102115496276E-002 1.054744472302770E-017 
          59          55  7.254408854298357E-004 -3.955865028717688E-019 
          59          56  7.953742768661627E-004 -2.215533188725014E-018 
          59          57  7.569982632372257E-004 -1.467571829530382E-019 
          59          58  -5.248730645589648E-002 -6.637931465781631E-018 
          59          59  0.421298385158003 4.572242862654316E-017 
          59          60  -8.149682999438836E-002 -4.530155042395791E-018 
          59          61  -1.404241378632432E-003 -1.391750415091313E-019 
          59          62  -8.115471704818526E-006 -6.069011944642414E-019 
          59          63  2.114999459441903E-003 3.889037542934262E-019 
          59          64  -4.786505850257311E-002 8.734142842120191E-019 
          59          65  -5.748527021137359E-002 2.910345865820317E-019 
          59          66  2.008256800031456E-003 -4.194407932723757E-018 
          59          67  -1.289057152832290E-003 3.813143679823878E-019 
          59          68  -1.212746389438649E-004 7.950111624070606E-019 
          59          69  6.463303474037264E-004 9.283802681194341E-020 
          59          70  1.538544619497341E-003 3.140351095501949E-019 
          59          71  6.260599206310259E-004 -3.465308819009050E-019 
          59          72  -2.641060411297949E-003 8.274863574370294E-019 
          59          73  -6.885910368187227E-004 -3.982525873555207E-020 
          59          74  1.893010953527440E-004 -1.839152056098199E-020 
          59          75  -1.010988202961495E-003 -8.797403860130129E-020 
          59          76  3.160808908942751E-004 -2.233038782719101E-020 
          59          77  1.431996550441174E-004 -2.414716213449329E-019 
          59          78  -4.891451346921901E-004 -1.114901706105832E-019 
          59          79  -1.110590023428763E-004 -5.876529919370791E-020 
          59          80  -1.670430195773528E-004 -1.179644690714180E-021 
          59          81  -5.817080540323604E-004 -1.199061377509205E-019 
          59          82  -5.197904468090246E-005 1.041852904139017E-019 
          59          83  -9.227972986987773E-005 1.383158781903147E-019 
          59          84  -2.541800830760701E-004 9.634877444597096E-020 
          59          85  -4.672157254643689E-004 -6.634202867045496E-020 
          59          86  -3.202661552391755E-004 -3.728580043378218E-020 
          59          87  -2.650154262821412E-004 -5.571726127867265E-021 
          59          88  -1.540777728770529E-004 7.234165944865406E-020 
          59          89  -6.601828760130645E-005 -1.489811394534259E-020 
          59          90  -1.635403551717737E-005 5.199788309441195E-020 
          59          91  -2.797081721856835E-005 -3.808447504279664E-021 
          59          92  -4.786239019969252E-005 1.170022673952592E-020 
          59          93  -4.043650438200742E-005 2.257877107077519E-020 
          59          94  -6.936175741891939E-005 5.125598689727743E-020 
          59          95  -1.427133171476965E-004 -4.931716536302461E-020 
          59          96  -2.729561567259811E-005 7.210486959886524E-020 
          59          97  -6.388401654027914E-006 -6.170040900948565E-020 
          59          98  -2.512017990460451E-005 -3.851620538530207E-020 
          59          99  -6.432004127279912E-005 1.445688836164101E-019 
          59         100  -4.482289338188327E-005 2.104363417536291E-019 
          59         101  -2.789913485302742E-005 7.358929023666219E-020 
          59         102  -3.989221774254361E-005 -1.766299169111519E-020 
          59         103  -4.090020629863076E-005 -1.582101999219037E-021 
          59         104  -3.402632013349404E-005 -7.865318140030760E-021 
          59         105  -5.227874068849161E-006 -3.330335286725155E-021 
          59         106  -1.076373979604503E-005 -2.261544563472893E-020 
          59         107  -5.821960947515245E-006 1.114567191720969E-020 
          59         108  -1.938012846922329E-005 -1.046757231809797E-020 
          60          37  -5.191332943307388E-004 6.834739458248736E-019 
          60          38  -4.496684250487250E-003 1.260131933750304E-019 
          60          39  7.078177686569338E-004 4.073623558225564E-019 
          60          40  -2.007786645192355E-003 -1.251827995593168E-019 
          60          41  -1.927834982726513E-004 -3.460711815946268E-019 
          60          42  -3.511850379664347E-006 -2.960615634926948E-019 
          60          43  1.448820615904593E-003 -1.912241281572381E-020 
          60          44  -4.985226439273727E-004 -1.959889643866571E-019 
          60          45  -6.148600725630327E-004 1.326778093957965E-018 
          60          46  -2.745877958969327E-003 2.075841349454246E-019 
          60          47  -4.685503543357577E-003 1.692279149994511E-019 
          60          48  1.788702390302037E-004 -1.117614553773060E-018 
          60          49  -6.055324053441955E-002 1.487780664216987E-017 
          60          50  2.226185258391817E-003 3.260134940838078E-019 
          60          51  -4.801120380736589E-004 5.003055132640105E-019 
          60          52  -3.824465301141110E-003 1.495207374659128E-018 
          60          53  3.301799053640835E-003 -1.495780493079938E-018 
          60          54  -7.451362783137118E-002 4.188586146060285E-018 
          60          55  -5.103791160937718E-002 -1.340728938247138E-017 
          60          56  4.922702048107131E-004 1.778326107669115E-018 
          60          57  7.627092139219949E-004 8.297170919879891E-019 
          60          58  3.218876124295184E-004 -8.265208784601816E-019 
          60          59  -8.149682999438836E-002 -4.530155042395791E-018 
          60          60  0.421046090449613 5.391926932205040E-017 
          60          61  1.628970356991225E-003 1.477612655212439E-018 
          60          62  -4.325146386640202E-004 -1.186036692905848E-019 
          60          63  -3.916985841470641E-004 -9.687483277285653E-019 
          60          64  2.048508395636644E-003 1.462910655635967E-018 
          60          65  -6.413414051912793E-002 -7.101128974777246E-018 
          60          66  -5.512633543015208E-002 -1.546882900910540E-017 
          60          67  -6.966141573166719E-005 1.342038716344726E-020 
          60          68  -9.411933671420065E-004 1.656259579073071E-018 
          60          69  -2.056680647316307E-003 6.008535314363228E-019 
          60          70  6.919633726799444E-004 -7.343293878966610E-019 
          60          71  1.702647893142625E-003 2.168212007787860E-019 
          60          72  8.151652837605415E-004 6.674676817811019E-019 
          60          73  1.056979758749519E-004 -6.056482493621884E-020 
          60          74  -4.943253610149790E-006 -7.055658951129261E-020 
          60          75  2.801058819194547E-004 3.664205924701426E-020 
          60          76  -2.429762061973027E-004 -1.731233919456394E-019 
          60          77  -1.534882668032632E-004 5.916759413691150E-020 
          60          78  3.602570690528695E-004 2.049831473662026E-019 
          60          79  -1.081746458811395E-004 -5.430179987031662E-020 
          60          80  -1.165644316003715E-004 1.108587300257285E-019 
          60          81  -2.799602044941874E-005 8.812475597938041E-020 
          60          82  -2.388055961671820E-004 -4.086643262630851E-021 
          60          83  -4.016188860724582E-005 2.325746130765894E-020 
          60          84  -1.018067630338485E-005 -5.193835940871870E-020 
          60          85  1.091104390217963E-004 3.953138416143504E-020 
          60          86  3.766633711996237E-006 9.898488095919367E-020 
          60          87  2.938257040671023E-005 4.198701828180302E-020 
          60          88  -4.579591657417045E-005 7.894767163935607E-020 
          60          89  -7.154127185385464E-005 -9.434506232348959E-021 
          60          90  3.640423414361720E-005 -3.256115132232507E-020 
          60          91  -1.672643591508721E-005 8.965102058545680E-021 
          60          92  2.022941296226281E-006 -7.778372776351848E-021 
          60          93  -2.746880205850016E-006 -2.079578692623692E-020 
          60          94  -2.764847458050603E-005 5.431347607755803E-021 
          60          95  -2.031553337026103E-005 1.736761323003946E-019 
          60          96  -6.470220566357507E-005 -3.467383893468946E-019 
          60          97  -3.412674824728213E-005 6.017014040664500E-020 
          60          98  -6.050220239513336E-005 2.900884938910640E-020 
          60          99  3.119190692873103E-006 -5.034939976730174E-020 
          60         100  3.549415474579817E-006 -2.430623545741596E-020 
          60         101  -1.517715536214952E-005 -6.677037182643743E-021 
          60         102  -3.245351895497941E-005 1.330400264294277E-019 
          60         103  -5.534920533973233E-005 1.242411028137682E-020 
          60         104  -5.651755469945643E-005 1.261231854811095E-020 
          60         105  -1.442639157556036E-005 1.500689359693124E-020 
          60         106  -1.622765310440431E-005 -6.813604718880947E-021 
          60         107  -2.713022494565411E-005 1.643307068619605E-020 
          60         108  -4.761006882641692E-005 5.583983277380297E-021 
          61          37  -2.356692958112325E-003 1.222193036870867E-018 
          61          38  -7.354729523108697E-004 -2.779292448506672E-020 
          61          39  -1.976177973727331E-003 3.581833128074850E-019 
          61          40  -4.696481417966032E-004 5.946355787086786E-020 
          61          41  -2.753547585795962E-003 2.118587605313511E-019 
          61          42  1.267621894596527E-005 1.131502878883197E-019 
          61          43  3.617578791737115E-004 1.142243758827700E-020 
          61          44  -9.720115589582557E-004 2.619602736337505E-019 
          61          45  -1.648489959547338E-003 -3.487351396775850E-019 
          61          46  5.044399535148624E-004 3.672892787534046E-020 
          61          47  -1.122418581370138E-003 2.380265416391149E-019 
          61          48  -4.747973708423925E-004 -3.605919183722046E-019 
          61          49  -1.638647546958350E-003 -3.130652719859893E-019 
          61          50  2.500222923450728E-003 9.678455533438276E-020 
          61          51  -1.598726447440056E-003 -7.112290158518886E-019 
          61          52  -2.006277465690861E-003 -6.691627585608771E-019 
          61          53  -2.249049537915908E-003 -5.277382347698654E-019 
          61          54  -9.503189492717729E-004 -2.216201320368826E-018 
          61          55  -6.451396012399731E-002 -1.224942841228429E-017 
          61          56  -6.599846501495160E-002 -2.317897891370660E-018 
          61          57  1.786884820372397E-003 1.064622052655094E-018 
          61          58  -8.217668249089383E-004 7.175433780184712E-019 
          61          59  -1.404241378632432E-003 -1.391750415091313E-019 
          61          60  1.628970356991225E-003 1.477612655212439E-018 
          61          61  0.420722532462056 1.553980454744867E-017 
          61          62  -6.867143265830793E-002 -5.989105207123163E-018 
          61          63  -5.666603300605510E-004 1.149760421412984E-018 
          61          64  4.820179633332893E-004 2.647983863046537E-018 
          61          65  -4.181264533387104E-004 7.198917114782561E-018 
          61          66  -6.277769298934638E-002 7.944774340239565E-019 
          61          67  -6.238172694806476E-002 1.242572167644011E-019 
          61          68  2.078603427839739E-003 5.233261827355610E-019 
          61          69  -7.187161447006450E-004 9.019449462749375E-019 
          61          70  -5.030484058365733E-004 2.935665013516703E-019 
          61          71  2.248962129484154E-003 -1.778259460515832E-018 
          61          72  -6.150499875251657E-002 9.149588102935614E-018 
          61          73  4.032698845554411E-004 -2.616365798878020E-019 
          61          74  -8.275531768993109E-004 -8.341430643275009E-019 
          61          75  -1.514558052001587E-003 -1.164884381185176E-019 
          61          76  -6.342906226925598E-004 -1.306613094104945E-018 
          61          77  1.156699512384364E-004 -3.409695575590151E-019 
          61          78  1.497670363595122E-003 2.651992203585979E-020 
          61          79  2.600485392898754E-004 -4.331327741905298E-019 
          61          80  1.165298671132285E-004 -6.212237314870836E-020 
          61          81  5.188620275876306E-005 3.446410889585458E-020 
          61          82  9.616754233509994E-005 1.843449082220144E-019 
          61          83  -3.302689560675505E-004 4.203179571405139E-020 
          61          84  -3.831561315436591E-004 -2.856677509287763E-019 
          61          85  -2.608359636414366E-004 -1.984388705517054E-019 
          61          86  -4.797146359016285E-004 -3.522650105563833E-019 
          61          87  -2.251720652101333E-004 -1.314655302024926E-019 
          61          88  5.256126030816771E-005 -1.582450695596346E-019 
          61          89  -8.104265551068329E-004 1.476174266718228E-019 
          61          90  8.486060485649995E-005 -6.287903961935580E-020 
          61          91  6.524598272671704E-005 -5.633455851201591E-020 
          61          92  4.171813002000539E-005 -9.645420667822931E-020 
          61          93  -1.018000560342417E-004 -1.510451149952797E-019 
          61          94  -2.033388509875304E-006 -1.586395272766115E-019 
          61          95  -4.292631427704554E-005 1.210317831249223E-019 
          61          96  -8.549479716127485E-005 -3.667973084426030E-019 
          61          97  -4.891970831630486E-004 3.198403130257556E-019 
          61          98  -2.979286537648778E-004 2.299407159310472E-019 
          61          99  -2.424933565518725E-004 2.648748988037760E-019 
          61         100  -1.593500248500548E-004 7.177812330466218E-020 
          61         101  -2.632576950585286E-004 -8.295801638685924E-019 
          61         102  -2.670854698734835E-004 4.590726106540342E-019 
          61         103  -1.833948386084595E-004 1.561835071802791E-019 
          61         104  -9.003297352185302E-005 8.431071704769378E-020 
          61         105  1.786503082867458E-005 3.158639139692457E-020 
          61         106  3.239365368848985E-005 2.045719447303106E-020 
          61         107  -1.005952414202817E-004 -6.671450451412662E-021 
          61         108  -1.378021242741841E-004 1.337767221711563E-019 
          62          37  -9.346354128452308E-004 -1.050820618419087E-020 
          62          38  -7.602682232493788E-004 3.311525953647317E-019 
          62          39  -4.104917359927981E-004 -3.998570585012179E-019 
          62          40  -2.182378351811448E-003 -1.368827105405885E-019 
          62          41  -8.385421939182578E-004 -1.230161188273122E-019 
          62          42  -8.089219111154167E-004 4.483640887873469E-019 
          62          43  -1.437059667686583E-003 -2.250512031280080E-019 
          62          44  2.781247689609087E-004 6.577758957727000E-020 
          62          45  1.470787075093042E-004 -2.248675281344280E-019 
          62          46  -9.039483763074739E-004 3.279085390934744E-021 
          62          47  3.649318571810668E-004 -3.254480950605373E-019 
          62          48  -1.684982856264080E-003 -6.406447039495455E-019 
          62          49  -2.487546880759388E-003 -9.872359104754234E-019 
          62          50  2.607920828103051E-004 7.483197537206170E-019 
          62          51  1.592650193270305E-003 -7.390320233590149E-019 
          62          52  3.348158586041761E-004 -5.280356440966893E-020 
