  	X_i       Y_i         Delta Q_s	
           1           1 -0.214281442987268     
           1           2 -0.214518498869534     
           1           3 -0.210133181968054     
           1           4 -0.204608460052686     
           1           5 -0.203286655362072     
           1           6 -0.208440234923478     
           2           1  4.980719610686016E-002
           2           2  5.106275477250632E-002
           2           3  5.306186256623874E-002
           2           4  5.338488217551312E-002
           2           5  5.229271976922074E-002
           2           6  5.165082117655060E-002
           3           1 -1.886660335679496E-002
           3           2 -3.489282782246470E-002
           3           3 -5.878997838577704E-002
           3           4 -5.727008928046172E-002
           3           5 -4.090011371488108E-002
           3           6 -2.025963231922256E-002
           4           1 -0.146698811094920     
           4           2 -0.160910587063854     
           4           3 -0.194504042906590     
           4           4 -0.174896947482931     
           4           5 -0.138943603404346     
           4           6 -0.135322739576501     
           5           1  3.649203013249428E-002
           5           2  4.113144997449046E-002
           5           3  4.251091300745088E-002
           5           4  3.654059081461210E-002
           5           5  3.232445843936976E-002
           5           6  3.314310661780126E-002
           6           1 -2.146483542271480E-002
           6           2 -1.991649439688709E-002
           6           3 -1.993429279614141E-002
           6           4 -2.072089430623960E-002
           6           5 -1.979466560772074E-002
           6           6 -2.109358110655772E-002
           7           1  7.030628330163514E-003
           7           2  6.133237150735128E-003
           7           3  7.214261502530676E-003
           7           4  6.997794336301184E-003
           7           5  6.939029679817514E-003
           7           6  7.043094477391566E-003
           8           1 -2.972383586005320E-003
           8           2 -3.013649327424330E-003
           8           3 -3.102874785542436E-003
           8           4 -2.991407979189730E-003
           8           5 -2.912416775184946E-003
           8           6 -3.110580926461836E-003
           9           1  9.395909966239232E-004
           9           2  9.117441425669286E-004
           9           3  9.488403734714658E-004
           9           4  9.156759747334020E-004
           9           5  9.173369101508308E-004
           9           6  9.007695431487512E-004
          10           1 -3.921945026912810E-004
          10           2 -3.750902757232670E-004
          10           3 -4.110292410326374E-004
          10           4 -3.953209081940900E-004
          10           5 -3.637577647041394E-004
          10           6 -3.818927900837288E-004
          11           1  1.398478282984714E-004
          11           2  1.456200970355842E-004
          11           3  1.551473179804580E-004
          11           4  1.370325299636169E-004
          11           5  1.325571890440797E-004
          11           6  1.485755269568457E-004
          12           1 -5.788143884531636E-005
          12           2 -6.108455760185323E-005
          12           3 -6.195819805600164E-005
          12           4 -5.519981346268828E-005
          12           5 -6.125543276170911E-005
          12           6 -6.101050306468820E-005
          13           1  2.327124034621140E-005
          13           2  2.150959980338890E-005
          13           3  2.172272870659016E-005
          13           4  2.198294163284284E-005
          13           5  2.068895689964804E-005
          13           6  2.093941041560276E-005
          14           1 -4.479814930735334E-006
          14           2 -4.281083272128152E-006
          14           3 -6.510333117509874E-006
          14           4 -4.938500002070288E-006
          14           5 -5.918347869145094E-006
          14           6 -8.311807492204877E-006
          15           1  4.719557985452904E-006
          15           2  5.252742385690926E-006
          15           3  3.745504224599490E-006
          15           4  3.069945290380198E-006
          15           5  2.978450240659292E-006
          15           6  2.441097067203818E-006
          16           1  1.405903466113372E-006
          16           2 -6.227522598617498E-007
          16           3 -1.486450122340544E-006
          16           4 -3.711380278386438E-006
          16           5 -4.040008736058444E-006
          16           6 -4.559515554154326E-006
          17           1  2.224280658862380E-006
          17           2  1.627110435082171E-006
          17           3  3.656188763432022E-006
          17           4  2.626185300862342E-006
          17           5  6.903724023453754E-007
          17           6 -5.610573198794548E-007
          18           1  3.394081732990004E-006
          18           2  9.699741746235593E-007
          18           3  1.063054429233820E-006
          18           4  1.196157822311343E-007
          18           5 -2.914223460025860E-009
          18           6 -2.650840303716272E-006
          19           1 -3.425835814665578E-007
          19           2 -2.454455717450768E-006
          19           3 -2.249631770316604E-006
          19           4 -2.913945805759878E-006
          19           5 -2.309595889990820E-006
          19           6 -3.100991061639882E-006
          20           1  6.950153785697276E-007
          20           2  7.636371383253158E-007
          20           3 -1.663995255866859E-006
          20           4  6.654559919169722E-007
          20           5 -1.361516731468992E-006
          20           6 -1.773909717051576E-006
          21           1  1.585368124264456E-006
          21           2  2.663577733162846E-006
          21           3  1.115138584588696E-006
          21           4  9.005661346309332E-007
          21           5 -1.150171478901258E-006
          21           6 -4.817131812618574E-007
          22           1 -1.755924505378172E-006
          22           2 -1.857889902968168E-006
          22           3 -1.391412107243829E-006
          22           4  1.342437566147156E-007
          22           5 -3.678840990828454E-006
          22           6 -2.187952642467268E-006
          23           1  1.065320037777633E-005
          23           2  5.672024873348968E-006
          23           3  6.063185366497332E-006
          23           4  5.927841582226080E-006
          23           5  6.432746956019818E-006
          23           6  4.959638661177036E-006
          24           1 -1.960480296321847E-005
          24           2 -2.004102719661774E-005
          24           3 -2.027439532051634E-005
          24           4 -2.293379949455624E-005
          24           5 -2.267420389978446E-005
          24           6 -2.443577686955810E-005
          25           1  6.083562567110982E-005
          25           2  6.004400060345918E-005
          25           3  5.578080849631672E-005
          25           4  6.141648823347422E-005
          25           5  6.086097512510874E-005
          25           6  5.794314762537732E-005
          26           1 -1.466194052685224E-004
          26           2 -1.321376972852206E-004
          26           3 -1.369970202624211E-004
          26           4 -1.543385868242052E-004
          26           5 -1.450939612584700E-004
          26           6 -1.395757531702931E-004
          27           1  3.821757528946634E-004
          27           2  3.646106771845148E-004
          27           3  3.949736745042852E-004
          27           4  4.098768030690038E-004
          27           5  3.737295156167386E-004
          27           6  3.906405078760998E-004
          28           1 -9.015528325544340E-004
          28           2 -9.188658721516114E-004
          28           3 -9.167188535679396E-004
          28           4 -9.504901285213676E-004
          28           5 -9.125041929703650E-004
          28           6 -9.410600849030989E-004
          29           1  3.108930557008822E-003
